customer_id,geography,gender,age,tenure,credit_score,balance,num_of_products,has_cr_card,is_active_member,estimated_salary,exited,risk_tier
ACC-100044,Germany,Female,43,1,702,122267.54,1,1,0,139019.88,0,High Risk
ACC-100045,France,Female,37,8,561,172760.72,2,0,1,102517.61,0,Low Risk
ACC-100046,Germany,Female,28,10,609,64431.15,2,1,0,71750.6,0,Low Risk
ACC-100047,Germany,Male,39,4,696,101363.01,2,1,0,121649.38,0,Medium Risk
ACC-100048,France,Female,47,5,575,145832.41,1,1,1,80415.85,0,Low Risk
ACC-100049,France,Female,54,9,742,0.0,1,1,1,93922.71,1,Low Risk
ACC-100050,Germany,Female,44,10,711,91363.24,2,0,0,176276.83,1,Medium Risk
ACC-100051,France,Male,18,10,667,88629.29,1,1,1,172885.96,0,Low Risk
ACC-100052,France,Female,45,5,653,0.0,1,0,0,92924.77,0,Medium Risk
ACC-100053,Spain,Female,39,10,850,121663.54,1,1,1,52477.99,0,Low Risk
ACC-100054,Spain,Female,31,5,469,40917.21,2,1,1,38274.85,0,Low Risk
ACC-100055,Spain,Male,32,4,767,194256.31,1,1,0,108027.24,0,Medium Risk
ACC-100056,France,Male,60,0,623,0.0,2,1,1,92332.0,0,Low Risk
ACC-100057,Germany,Male,32,2,835,178723.46,1,0,1,68252.16,1,Medium Risk
ACC-100058,Germany,Male,36,8,739,112397.69,2,0,0,131449.7,1,Medium Risk
ACC-100059,France,Female,52,7,583,0.0,1,1,1,68852.8,0,Low Risk
ACC-100060,Spain,Male,47,0,734,44116.45,1,1,0,52739.31,1,Medium Risk
ACC-100061,France,Female,28,5,706,0.0,1,1,1,113887.02,0,Low Risk
ACC-100062,France,Female,29,4,622,0.0,2,1,1,24409.27,0,Low Risk
ACC-100063,Spain,Male,36,0,659,0.0,2,0,1,126948.54,0,Low Risk
ACC-100064,France,Female,32,8,566,0.0,2,0,0,,0,Low Risk
ACC-100065,France,Female,40,7,422,186828.88,1,0,1,133080.57,0,Low Risk
ACC-100066,France,Male,23,8,754,0.0,2,1,0,33763.12,0,Low Risk
ACC-100067,Spain,Female,40,7,459,0.0,2,1,1,105720.31,0,Low Risk
ACC-100068,France,Female,48,1,606,0.0,1,1,0,26667.66,0,Medium Risk
ACC-100069,France,Male,43,10,575,36713.12,1,1,1,98836.1,0,Low Risk
ACC-100070,GERMANY ,Male,62,5,608,185400.28,2,1,1,145190.73,0,Medium Risk
ACC-100071,France,Male,38,7,650,104977.71,2,1,0,165121.98,0,Low Risk
ACC-100072,France,Male,28,5,635,45929.81,2,0,1,50330.37,0,Low Risk
ACC-100073,Germany,Male,42,3,620,89576.47,1,1,0,106683.84,0,Medium Risk
ACC-100074,France,Male,31,4,756,0.0,1,1,1,86848.06,1,Low Risk
ACC-100075,France,Female,40,10,683,0.0,1,0,1,171470.48,0,Low Risk
ACC-100076,Spain,Female,48,2,549,0.0,2,0,0,117101.88,1,Low Risk
ACC-100077,France,Female,29,8,563,0.0,2,0,0,49850.25,0,Low Risk
ACC-100078,Germany,Male,33,9,718,60946.06,1,0,1,168811.89,1,Low Risk
ACC-100079,France,Female,51,3,617,0.0,2,1,1,,0,Low Risk
ACC-100080,Germany,Male,48,2,752,180117.03,1,1,0,167269.32,0,High Risk
ACC-100081,France,Male,18,3,744,85130.22,2,0,0,77445.26,0,Low Risk
ACC-100082,France,Female,30,3,702,0.0,1,0,0,44583.42,1,Low Risk
ACC-100083,France,Female,35,8,494,181896.6,2,1,0,170902.8,0,Low Risk
ACC-100084,France,Male,32,5,784,140692.07,1,0,1,84616.22,0,Low Risk
ACC-100085,Spain,Male,43,2,606,54888.64,2,0,1,50426.93,0,Low Risk
ACC-100086,Spain,Male,49,3,567,167497.48,2,1,1,182835.48,0,Low Risk
ACC-100087,France,Female,35,4,615,147347.7,1,1,0,,1,Medium Risk
ACC-100088,France,Male,48,8,718,177259.71,1,1,0,75959.46,1,Medium Risk
ACC-100089,Germany,Male,45,1,662,38019.05,2,0,0,126513.48,1,Medium Risk
ACC-100090,France,Female,28,0,421,85597.32,2,0,0,141892.19,0,Low Risk
ACC-100091,France,Male,44,5,591,82045.66,1,1,0,55347.74,0,Medium Risk
ACC-100092,Spain,Male,29,6,658,127302.68,1,1,0,185386.35,0,Medium Risk
ACC-100093,Spain,Male,29,0,769,43154.04,2,1,1,115243.52,0,Low Risk
ACC-100094,France,Female,37,4,687,0.0,1,1,0,96474.72,1,Low Risk
ACC-100095,France,Male,30,10,456,80551.18,1,0,0,188325.8,0,Low Risk
ACC-100096,France,Male,40,3,760,109058.65,1,0,0,146466.97,0,Medium Risk
ACC-100097,France,Female,45,3,514,97670.98,1,0,0,142363.51,0,Medium Risk
ACC-100098,Spain,Female,39,1,786,137034.15,2,0,0,49605.53,1,Low Risk
ACC-100099,Spain,Male,45,9,534,0.0,2,1,1,118210.1,0,Low Risk
ACC-100100,France,Male,44,9,795,165261.22,2,1,0,123215.79,1,Low Risk
ACC-100101,France,Male,18,2,507,33214.02,1,1,0,34701.95,0,Low Risk
ACC-100102,Spain,Male,27,10,626,70435.82,1,1,1,181518.23,0,Low Risk
ACC-100103,Spain,Female,52,9,462,177448.82,2,1,0,30591.16,0,Medium Risk
ACC-100104,Spain,Male,47,10,646,0.0,1,0,0,64705.23,1,Medium Risk
ACC-100105,Spain,Male,40,7,525,73320.01,2,0,1,188960.31,0,Low Risk
ACC-100106,France,Male,35,9,599,0.0,1,0,0,32304.8,0,Low Risk
ACC-100107,France,Male,51,1,669,126033.36,1,1,1,36276.1,0,Medium Risk
ACC-100108,Spain,Male,30,9,675,135748.56,2,1,1,108064.42,0,Low Risk
ACC-100109,France,Male,54,3,716,0.0,1,1,0,56091.11,0,Medium Risk
ACC-100110,Spain,Male,54,6,553,27606.26,2,1,0,94119.44,0,Low Risk
ACC-100111,France,Female,33,0,519,103665.74,1,1,1,29037.17,0,Low Risk
ACC-100112,Spain,Female,27,7,532,0.0,2,1,1,61379.64,0,Low Risk
ACC-100113,France,Male,36,6,741,90397.46,2,1,1,178817.75,0,Low Risk
ACC-100114,Germany,Male,38,8,620,178672.73,1,1,0,112077.27,0,Medium Risk
ACC-100115,France,Male,35,5,667,0.0,1,1,1,98182.47,0,Low Risk
ACC-100116,France,Male,39,10,653,90975.1,1,1,1,170886.05,0,Low Risk
ACC-100117,France,Female,36,2,612,81043.03,1,0,1,186484.45,0,Low Risk
ACC-100118,Germany,Female,51,6,571,91967.09,1,1,0,,1,High Risk
ACC-100119,Spain,Female,29,10,660,0.0,2,0,1,123965.47,0,Low Risk
ACC-100120,France,Female,39,1,653,142735.85,1,1,0,,1,Medium Risk
ACC-100121,Spain,Male,41,10,562,171272.4,2,1,1,86900.33,1,Low Risk
ACC-100122,France,Male,51,5,850,0.0,1,1,0,35501.91,0,Medium Risk
ACC-100123,Spain,Female,44,2,583,175597.01,1,1,1,73179.55,0,Low Risk
ACC-100124,Spain,Male,26,5,630,0.0,1,1,1,98649.6,0,Low Risk
ACC-100125,France,Female,32,8,656,148357.98,1,0,0,142563.61,0,Medium Risk
ACC-100126,France,Male,32,9,645,119158.13,1,0,1,158301.81,0,Low Risk
ACC-100127,Germany,Male,43,9,596,120777.8,1,0,1,125352.5,0,Medium Risk
ACC-100128,Germany,Male,-18,0,742,180556.16,2,1,1,162989.01,0,Low Risk
ACC-100129,Spain,Female,34,7,794,0.0,1,0,1,90838.77,0,Low Risk
ACC-100130,GERMANY ,Male,45,10,694,194498.42,1,1,0,134209.4,1,High Risk
ACC-100131,Germany,Female,56,6,652,66561.74,2,0,0,80191.35,0,Medium Risk
ACC-100132,France,Female,30,8,740,166109.64,2,1,0,149991.83,0,Low Risk
ACC-100133,Germany,Female,44,2,510,141174.16,1,1,1,62512.73,1,Medium Risk
ACC-100134,Germany,Female,42,6,542,70102.16,1,1,1,101715.08,0,Medium Risk
ACC-100135,France,Female,49,1,529,156474.77,1,1,1,104999.67,1,Medium Risk
ACC-100136,France,Male,45,0,685,97415.32,3,1,1,60526.03,1,High Risk
ACC-100137,Germany,Female,46,2,502,104903.27,1,1,0,83215.35,1,High Risk
ACC-100138,GERMANY ,Female,30,1,660,156778.74,3,1,1,188929.07,1,High Risk
ACC-100139,France,Male,46,9,435,0.0,1,0,1,90692.62,0,Low Risk
ACC-100140,France,Male,31,5,517,172465.97,1,1,0,111658.46,0,Medium Risk
ACC-100141,Spain,Male,39,0,736,181182.85,1,0,1,30602.06,0,Low Risk
ACC-100142,France,Female,32,9,607,128643.85,2,1,1,154704.26,0,Low Risk
ACC-100143,France,Male,56,4,596,147612.72,2,1,0,182484.59,0,Medium Risk
ACC-100144,France,Female,32,2,676,141449.35,2,1,0,174113.51,0,Low Risk
ACC-100145,France,Male,18,8,541,129644.83,1,1,0,118780.4,0,Medium Risk
ACC-100146,Germany,Female,47,3,601,69629.16,1,1,1,130773.77,0,Medium Risk
ACC-100147,Spain,Male,37,7,557,137561.86,2,1,1,,0,Low Risk
ACC-100148,Germany,Male,34,0,585,139580.5,2,0,1,161234.97,0,Low Risk
ACC-100149,France,Female,29,7,750,187118.6,2,1,1,25574.85,0,Low Risk
ACC-100150,France,Male,37,1,701,174058.54,2,1,0,47990.11,0,Low Risk
ACC-100151,France,Male,34,10,573,0.0,1,1,1,84016.3,0,Low Risk
ACC-100152,France,Female,18,6,445,110163.55,1,0,1,73385.31,0,Low Risk
ACC-100153,Germany,Male,31,4,637,44715.7,2,1,0,31148.56,0,Low Risk
ACC-100154,Germany,Male,44,7,751,80182.46,2,1,0,114620.74,0,Medium Risk
ACC-100155,Germany,Female,46,9,747,75531.61,2,1,0,108952.23,1,Medium Risk
ACC-100156,France,Male,39,2,511,101459.59,2,1,0,135657.03,0,Low Risk
ACC-100157,France,Male,40,6,687,42123.01,2,1,1,79369.58,0,Low Risk
ACC-100158,Germany,Male,29,6,615,61173.19,2,0,0,22267.11,0,Low Risk
ACC-100159,France,Male,49,1,690,177991.47,2,1,0,153972.31,1,Low Risk
ACC-100160,France,Male,49,4,615,168159.98,2,1,0,156478.33,0,Low Risk
ACC-100161,France,Female,42,5,658,119910.28,1,0,0,80465.34,0,Medium Risk
ACC-100162,Germany,Female,43,7,542,188868.42,2,1,1,175104.87,0,Low Risk
ACC-100163,Germany,Female,47,8,350,101011.26,2,0,1,158756.21,0,Low Risk
ACC-100164,France,Female,32,10,534,55064.41,2,1,1,173214.61,0,Low Risk
ACC-100165,France,Female,45,10,582,32516.12,2,1,1,177810.24,1,Low Risk
ACC-100166,France,Male,37,9,548,0.0,2,1,1,81622.19,1,Low Risk
ACC-100167,France,Male,52,7,739,55102.08,2,1,1,158733.34,0,Low Risk
ACC-100168,France,Male,22,10,643,187631.94,1,1,0,161765.97,0,Medium Risk
ACC-100169,France,Female,30,3,850,0.0,1,1,0,28524.52,1,Low Risk
ACC-100170,Germany,Male,42,10,554,150068.34,2,0,0,59621.14,0,Medium Risk
ACC-100171,Spain,Female,26,1,673,80809.86,1,1,0,186376.3,0,Medium Risk
ACC-100172,Germany,Female,41,2,679,108155.24,2,0,0,63995.39,1,Medium Risk
ACC-100173,France,Male,29,2,759,26448.11,3,1,0,127843.84,0,High Risk
ACC-100174,France,Female,41,3,750,69097.22,1,1,1,130729.29,0,Low Risk
ACC-100175,France,Female,52,7,629,0.0,2,1,0,119404.7,0,Low Risk
ACC-100176,Spain,Female,50,6,786,49817.78,3,1,1,62243.18,1,High Risk
ACC-100177,France,Female,29,6,739,0.0,1,0,0,100419.2,0,Low Risk
ACC-100178,France,Male,55,3,626,0.0,1,1,0,160519.3,1,Medium Risk
ACC-100179,Spain,Female,43,3,656,86120.13,1,1,0,73287.33,0,Medium Risk
ACC-100180,Germany,Male,50,3,722,150836.71,1,1,1,56944.29,0,Medium Risk
ACC-100181,Spain,Male,39,2,532,108784.56,2,1,0,96626.11,1,Low Risk
ACC-100182,France,Female,35,4,511,0.0,2,0,0,57917.65,0,Low Risk
ACC-100183,Spain,Female,40,10,619,45648.91,1,1,0,34475.06,1,Low Risk
ACC-100184,France,Male,44,6,766,193180.06,1,1,0,106126.94,0,Medium Risk
ACC-100185,Germany,Male,37,1,687,170105.82,1,1,1,41067.36,0,Medium Risk
ACC-100186,France,Male,51,9,517,0.0,1,1,0,41631.31,1,Medium Risk
ACC-100187,Germany,Male,47,7,678,102902.32,2,1,0,93017.58,0,Medium Risk
ACC-100188,Spain,Female,36,7,526,181500.46,2,0,0,159890.33,0,Low Risk
ACC-100189,France,Male,40,9,615,138110.54,2,1,1,122061.52,0,Low Risk
ACC-100190,France,Female,42,0,595,167286.79,1,1,1,76132.41,1,Medium Risk
ACC-100191,France,Male,-40,7,661,166852.63,2,0,0,33809.84,0,Low Risk
ACC-100192,France,Male,45,4,734,0.0,2,0,0,61693.92,0,Low Risk
ACC-100193,Spain,Female,42,10,792,0.0,1,1,1,156520.43,1,Low Risk
ACC-100194,France,Female,45,4,677,64424.03,1,1,1,40939.68,0,Low Risk
ACC-100195,Spain,Female,35,2,601,98821.12,2,0,1,178320.48,0,Low Risk
ACC-100196,Spain,Male,45,9,494,164318.8,1,1,1,108313.14,0,Low Risk
ACC-100197,France,Female,21,2,737,0.0,1,1,1,171630.86,0,Low Risk
ACC-100198,Spain,Male,31,1,572,29501.34,1,1,1,141355.67,1,Low Risk
ACC-100199,France,Female,48,2,721,39377.1,1,0,1,124361.72,0,Low Risk
ACC-100200,Germany,Male,41,5,777,42338.83,2,1,1,124997.93,0,Low Risk
ACC-100201,Spain,Female,47,0,404,0.0,2,1,1,51995.86,0,Low Risk
ACC-100202,Germany,Female,40,9,689,187704.49,2,1,0,169861.22,1,Medium Risk
ACC-100203,SPAIN ,Female,20,1,617,0.0,2,0,0,125088.16,1,Low Risk
ACC-100204,France,Male,54,3,632,0.0,1,1,0,105668.86,1,Medium Risk
ACC-100205,Spain,Male,32,5,704,48665.01,2,1,1,54654.9,1,Low Risk
ACC-100206,Germany,Female,45,8,523,63721.11,2,0,0,193715.14,0,Medium Risk
ACC-100207,France,Female,26,0,605,59541.36,1,1,1,112898.53,0,Low Risk
ACC-100208,France,Female,47,4,669,118258.25,2,1,0,54010.48,0,Low Risk
ACC-100209,Germany,Male,36,5,609,56941.14,3,1,0,191829.95,1,High Risk
ACC-100210,Germany,Male,32,7,741,81488.7,2,1,0,190039.31,0,Low Risk
ACC-100211,Germany,Male,44,5,480,39893.6,1,0,0,82208.99,0,Medium Risk
ACC-100212,Spain,Female,50,5,630,98346.87,2,0,0,72663.74,0,Low Risk
ACC-100213,France,Female,48,3,506,101129.26,1,1,0,180530.21,1,Medium Risk
ACC-100214,Spain,Female,37,5,598,123742.57,1,1,0,78466.83,1,Medium Risk
ACC-100215,France,Female,24,8,531,0.0,1,1,1,117935.65,0,Low Risk
ACC-100216,Germany,Female,44,0,649,26256.38,1,1,1,146762.3,1,Medium Risk
ACC-100217,France,Male,54,9,719,0.0,1,1,1,47262.78,0,Low Risk
ACC-100218,Spain,Female,46,5,573,0.0,2,1,1,94163.22,0,Low Risk
ACC-100219,France,Male,25,0,734,71362.08,2,1,0,167753.38,0,Low Risk
ACC-100220,Germany,Male,-46,6,816,92052.5,1,0,1,137908.98,1,Medium Risk
ACC-100221,France,Female,27,4,683,128085.55,2,0,1,145135.47,0,Low Risk
ACC-100222,Germany,Male,48,8,685,33352.47,1,1,1,63817.54,0,Medium Risk
ACC-100223,Germany,Male,37,5,408,114837.13,1,1,0,105721.0,0,Medium Risk
ACC-100224,France,Female,33,10,600,59596.05,2,1,0,127705.38,1,Low Risk
ACC-100225,France,Female,18,1,479,0.0,1,1,0,153483.47,0,Medium Risk
ACC-100226,Spain,Male,31,7,593,193893.69,1,0,0,104819.11,0,Medium Risk
ACC-100227,France,Female,41,2,650,48375.27,1,1,0,150995.09,0,Medium Risk
ACC-100228,France,Female,53,3,748,91457.63,1,0,1,90834.63,0,Low Risk
ACC-100229,France,Female,38,4,750,121313.98,1,1,0,77204.2,0,Medium Risk
ACC-100230,Germany,Female,35,7,487,71377.09,2,1,1,150664.25,0,Low Risk
ACC-100231,Spain,Male,43,7,645,120947.7,2,1,1,166536.53,0,Low Risk
ACC-100232,France,Male,41,2,752,52255.25,1,1,0,56205.34,1,Medium Risk
ACC-100233,France,Male,52,7,701,69053.79,1,1,1,188624.77,0,Low Risk
ACC-100234,Germany,Male,20,8,656,124494.89,1,0,1,37534.03,1,Medium Risk
ACC-100235,Spain,Female,28,6,682,0.0,2,1,0,120443.35,0,Low Risk
ACC-100236,France,Female,25,2,539,143835.29,2,0,0,167847.82,1,Low Risk
ACC-100237,France,Male,38,9,541,71059.29,1,1,0,59191.99,0,Low Risk
ACC-100238,Germany,Male,47,8,571,116081.32,1,1,1,114266.22,1,Medium Risk
ACC-100239,Germany,Female,27,4,662,90517.41,1,1,1,116382.7,0,Low Risk
ACC-100240,Spain,Female,35,2,563,29251.5,1,1,1,91854.88,0,Low Risk
ACC-100241,Germany,Male,31,6,504,99025.03,2,0,0,60251.17,0,Low Risk
ACC-100242,France,Male,27,0,574,0.0,1,1,1,27292.26,0,Low Risk
ACC-100243,France,Male,33,5,657,160649.47,2,1,1,35543.97,0,Low Risk
ACC-100244,France,Female,41,1,735,0.0,1,1,1,47611.51,0,Low Risk
ACC-100245,Spain,Female,38,6,581,0.0,1,1,0,90797.02,0,Low Risk
ACC-100246,France,Female,55,1,650,0.0,1,0,1,122270.7,1,Medium Risk
ACC-100247,France,Female,31,5,751,0.0,2,1,1,146767.73,0,Low Risk
ACC-100248,France,Male,66,4,663,56937.47,2,0,0,46294.76,0,Low Risk
ACC-100249,France,Female,53,9,388,32472.58,2,1,0,194380.3,0,Low Risk
ACC-100250,Germany,Male,32,2,666,36958.92,1,1,1,33815.98,1,Low Risk
ACC-100251,France,Female,47,5,576,113428.78,1,0,0,30256.28,0,Medium Risk
ACC-100252,Spain,Male,27,6,651,0.0,1,0,0,167585.57,0,Low Risk
ACC-100253,Spain,Female,44,4,620,0.0,1,1,1,59003.57,0,Low Risk
ACC-100254,France,Male,29,4,503,192292.98,1,1,1,28794.16,0,Low Risk
ACC-100255,France,Male,31,3,741,80917.93,2,1,1,,0,Low Risk
ACC-100256,France,Female,28,1,850,156005.26,2,0,0,92059.77,0,Low Risk
ACC-100257,France,Male,55,4,443,161092.31,1,1,1,122925.99,1,Medium Risk
ACC-100258,FRANCE ,Female,44,2,734,53061.76,2,1,1,29917.75,0,Low Risk
ACC-100259,France,Female,30,6,584,146397.07,2,1,1,24108.25,1,Low Risk
ACC-100260,France,Male,47,3,630,56579.5,2,1,0,36055.74,0,Low Risk
ACC-100261,France,Male,44,5,586,63334.8,2,0,0,86493.33,0,Low Risk
ACC-100262,Germany,Female,-53,10,698,170100.43,1,1,1,46715.44,1,Medium Risk
ACC-100263,Germany,Female,36,5,500,145279.56,2,1,0,61034.0,0,Medium Risk
ACC-100264,Germany,Male,32,6,850,178026.48,1,0,0,47602.5,0,Medium Risk
ACC-100265,France,Male,42,3,769,193304.63,1,1,1,161069.42,0,Low Risk
ACC-100266,France,Male,22,2,467,50258.22,1,1,0,112822.47,0,Low Risk
ACC-100267,Spain,Female,44,0,534,139764.65,2,1,0,30823.0,0,Low Risk
ACC-100268,France,Female,31,4,699,0.0,1,1,1,54303.91,0,Low Risk
ACC-100269,SPAIN ,Female,38,1,540,0.0,1,1,1,144338.58,1,Low Risk
ACC-100270,Germany,Male,42,4,631,93607.93,2,1,1,36190.9,0,Low Risk
ACC-100271,France,Female,22,10,480,108368.98,2,1,1,123347.86,0,Low Risk
ACC-100272,Germany,Male,56,2,648,46444.66,2,1,0,66478.07,1,Medium Risk
ACC-100273,France,Male,34,1,640,0.0,2,0,1,173223.31,0,Low Risk
ACC-100274,France,Female,40,1,705,82612.07,2,0,1,30844.19,0,Low Risk
ACC-100275,France,Female,41,8,600,191134.07,2,1,0,54651.61,0,Low Risk
ACC-100276,Spain,Female,41,0,542,0.0,2,1,1,134272.11,0,Low Risk
ACC-100277,Germany,Female,36,5,746,147319.73,2,1,1,76395.44,1,Low Risk
ACC-100278,France,Male,29,6,472,0.0,2,1,0,41400.46,1,Low Risk
ACC-100279,Spain,Female,18,10,614,191904.75,2,1,0,190331.49,0,Low Risk
ACC-100280,France,Male,34,4,602,154505.82,1,1,1,72298.62,1,Low Risk
ACC-100281,France,Female,38,8,668,34087.13,2,0,1,32786.83,0,Low Risk
ACC-100282,Spain,Female,41,0,728,36479.7,3,1,0,190847.79,1,High Risk
ACC-100283,Germany,Male,52,2,667,131068.58,1,1,1,157410.15,0,Medium Risk
ACC-100284,France,Female,44,6,703,0.0,2,1,0,93282.01,0,Low Risk
ACC-100285,France,Female,22,1,588,189008.96,2,1,0,152211.24,0,Low Risk
ACC-100286,Germany,Male,42,9,654,100634.39,1,1,0,129480.95,0,High Risk
ACC-100287,France,Male,22,8,644,136621.02,1,1,0,102285.8,0,Medium Risk
ACC-100288,Spain,Female,48,3,641,27890.93,1,0,0,36977.46,0,Medium Risk
ACC-100289,Spain,Male,62,2,649,34046.8,1,1,0,191170.69,0,Medium Risk
ACC-100290,France,Female,38,0,577,0.0,2,1,1,159570.29,0,Low Risk
ACC-100291,Germany,Female,35,10,577,34783.31,1,1,1,164474.93,0,Low Risk
ACC-100292,Germany,Female,43,3,722,50368.94,2,0,0,187839.67,1,Medium Risk
ACC-100293,Spain,Male,41,8,476,0.0,1,1,1,70851.38,0,Low Risk
ACC-100294,Germany,Male,60,9,638,105578.11,1,1,1,55945.73,0,Medium Risk
ACC-100295,Germany,Male,30,3,603,153769.14,1,1,0,37684.02,1,Medium Risk
ACC-100296,France,Male,40,1,759,0.0,2,0,1,89908.92,0,Low Risk
ACC-100297,Spain,Male,46,10,628,137269.71,2,1,1,165510.41,0,Low Risk
ACC-100298,France,Male,50,7,618,0.0,1,1,0,,0,Medium Risk
ACC-100299,Spain,Female,18,10,676,164512.73,2,0,0,117338.55,0,Low Risk
ACC-100300,Germany,Male,48,0,777,126577.25,2,1,1,85061.67,1,Medium Risk
ACC-100301,Spain,Female,56,5,822,170455.02,1,1,1,138178.57,0,Medium Risk
ACC-100302,France,Male,35,4,617,151875.58,1,1,0,157011.75,0,Medium Risk
ACC-100303,Germany,Male,28,4,680,51687.78,2,1,1,122965.88,0,Low Risk
ACC-100304,Germany,Female,45,3,593,105525.83,2,0,0,153170.85,0,Medium Risk
ACC-100305,France,Male,28,3,736,166981.43,2,0,0,172839.2,1,Low Risk
ACC-100306,France,Male,24,6,664,74552.93,1,1,1,50746.08,0,Low Risk
ACC-100307,France,Female,40,3,532,75870.12,1,0,0,109191.18,1,Low Risk
ACC-100308,Germany,Male,49,7,732,55222.09,1,0,1,78130.87,0,Medium Risk
ACC-100309,France,Female,30,10,574,0.0,2,1,1,54879.6,0,Low Risk
ACC-100310,Spain,Female,39,6,522,38747.59,2,1,1,194987.04,0,Low Risk
ACC-100311,Spain,Female,38,8,637,81166.5,2,1,1,,0,Low Risk
ACC-100312,Spain,Male,42,10,677,100545.83,1,0,1,164779.72,0,Low Risk
ACC-100313,Germany,Male,48,5,699,179001.04,2,1,1,31083.45,0,Low Risk
ACC-100314,Germany,Female,25,10,577,136225.45,2,0,0,38352.26,0,Medium Risk
ACC-100315,France,Female,24,2,692,0.0,1,1,0,125523.52,0,Low Risk
ACC-100316,France,Female,34,7,690,40150.41,1,1,0,90374.71,0,Low Risk
ACC-100317,France,Female,43,4,692,0.0,2,1,0,120590.99,0,Low Risk
ACC-100318,Germany,Female,20,10,635,182618.37,1,1,0,172616.24,1,Medium Risk
ACC-100319,France,Male,36,2,834,65424.87,1,1,1,136833.96,1,Low Risk
ACC-100320,France,Male,50,3,694,51771.21,1,0,0,127426.06,0,Medium Risk
ACC-100321,France,Male,43,1,668,91993.27,2,1,1,176478.99,0,Low Risk
ACC-100322,Spain,Female,33,10,659,114831.63,1,1,0,124495.3,1,Medium Risk
ACC-100323,France,Male,38,7,687,153228.12,2,1,1,38781.4,0,Low Risk
