lead_id,lead_date,campaign_id,campaign_name,marketing_channel,target_segment,funnel_stage,is_mql,is_sql,is_opportunity,is_customer,deal_value_usd,days_to_close
LEAD-20240051,2024-06-22,CMP-01,Q1 Product Launch Summit,LinkedIn Ads,Enterprise,Marketing Qualified Lead,1,0,0,0,0.0,6
LEAD-20240052,2024-12-30,CMP-05,Retargeting & Social Boost,Meta (Facebook/IG),SMB,Sales Qualified Lead,1,1,0,0,0.0,32
LEAD-20240053,2025-09-29,CMP-03,SaaS Growth Nurture Series,Email Marketing,Enterprise,Closed Won,1,1,1,1,30189.52,69
LEAD-20240054,2024-08-11,CMP-03,SaaS Growth Nurture Series,Email Marketing,Mid-Market,Sales Qualified Lead,1,1,0,0,0.0,19
LEAD-20240055,2024-08-25,CMP-03,SaaS Growth Nurture Series,Email Marketing,Enterprise,Sales Qualified Lead,1,1,0,0,0.0,16
LEAD-20240056,2024-02-25,CMP-08,High-Intent Keyword Capture,Google Ads,SMB,Marketing Qualified Lead,1,0,0,0,0.0,13
LEAD-20240057,2024-01-29,CMP-08,High-Intent Keyword Capture,Google Ads,Mid-Market,Opportunity,1,1,1,0,0.0,46
LEAD-20240058,2025-11-20,CMP-01,Q1 Product Launch Summit,LinkedIn Ads,SMB,Marketing Qualified Lead,1,0,0,0,0.0,5
LEAD-20240059,2025-07-27,CMP-06,Creator Industry Endorsement,Influencer Partnerships,Mid-Market,Lead Inbound,0,0,0,0,0.0,0
LEAD-20240060,2024-07-27,CMP-01,Q1 Product Launch Summit,LinkedIn Ads,SMB,Sales Qualified Lead,1,1,0,0,0.0,40
LEAD-20240061,2024-04-13,CMP-06,Creator Industry Endorsement,Influencer Partnerships,SMB,Lead Inbound,0,0,0,0,0.0,0
LEAD-20240062,2025-06-06,CMP-05,Retargeting & Social Boost,Meta (Facebook/IG),Enterprise,Lead Inbound,0,0,0,0,0.0,0
LEAD-20240063,2024-06-10,CMP-08,High-Intent Keyword Capture,Google Ads,Mid-Market,Marketing Qualified Lead,1,0,0,0,0.0,15
LEAD-20240064,2024-04-28,CMP-05,Retargeting & Social Boost,Meta (Facebook/IG),SMB,Lead Inbound,0,0,0,0,0.0,0
LEAD-20240065,2024-04-25,CMP-07,Mid-Market Webinar Series,LinkedIn Ads,Enterprise,Marketing Qualified Lead,1,0,0,0,0.0,8
LEAD-20240066,2025-02-06,CMP-01,Q1 Product Launch Summit,LinkedIn Ads,Mid-Market,Marketing Qualified Lead,1,0,0,0,0.0,5
LEAD-20240067,2025-03-29,CMP-02,Enterprise Search Dominance,Google Ads,Mid-Market,Marketing Qualified Lead,1,0,0,0,0.0,9
LEAD-20240068,2025-08-12,CMP-05,Retargeting & Social Boost,Meta (Facebook/IG),Enterprise,Lead Inbound,0,0,0,0,0.0,0
LEAD-20240069,2025-04-22,CMP-04,Thought Leadership Whitepaper,Organic Search (SEO),SMB,Marketing Qualified Lead,1,0,0,0,0.0,12
LEAD-20240070,2025-10-22,CMP-01,Q1 Product Launch Summit,LinkedIn Ads,SMB,Lead Inbound,0,0,0,0,0.0,0
LEAD-20240071,2025-01-03,CMP-07,Mid-Market Webinar Series,LinkedIn Ads,SMB,Marketing Qualified Lead,1,0,0,0,0.0,8
LEAD-20240072,2025-04-01,CMP-04,Thought Leadership Whitepaper,Organic Search (SEO),Mid-Market,Sales Qualified Lead,1,1,0,0,0.0,45
LEAD-20240073,2024-10-20,CMP-09,Customer Reactivation Drip,Email Marketing,SMB,Marketing Qualified Lead,1,0,0,0,0.0,9
LEAD-20240074,2025-03-05,CMP-03,SaaS Growth Nurture Series,Email Marketing,Enterprise,Marketing Qualified Lead,1,0,0,0,0.0,13
LEAD-20240075,2025-07-19,CMP-08,High-Intent Keyword Capture,Google Ads,Mid-Market,Sales Qualified Lead,1,1,0,0,0.0,37
LEAD-20240076,2024-05-16,CMP-05,Retargeting & Social Boost,Meta (Facebook/IG),SMB,Opportunity,1,1,1,0,0.0,80
LEAD-20240077,2024-12-27,CMP-09,Customer Reactivation Drip,Email Marketing,Enterprise,Sales Qualified Lead,1,1,0,0,0.0,38
LEAD-20240078,2025-06-30,CMP-01,Q1 Product Launch Summit,LinkedIn Ads,Mid-Market,Marketing Qualified Lead,1,0,0,0,0.0,20
LEAD-20240079,2025-06-14,CMP-03,SaaS Growth Nurture Series,Email Marketing,Mid-Market,Closed Won,1,1,1,1,8855.89,48
LEAD-20240080,2025-11-18,CMP-05,Retargeting & Social Boost,Meta (Facebook/IG),Enterprise,Lead Inbound,0,0,0,0,0.0,0
LEAD-20240081,2025-04-30,CMP-05,Retargeting & Social Boost,Meta (Facebook/IG),Mid-Market,Marketing Qualified Lead,1,0,0,0,0.0,19
LEAD-20240082,2025-01-22,CMP-10,Summer Tech Brand Campaign,Meta (Facebook/IG),Mid-Market,Lead Inbound,0,0,0,0,0.0,0
LEAD-20240083,2024-01-08,CMP-06,Creator Industry Endorsement,Influencer Partnerships,SMB,Marketing Qualified Lead,1,0,0,0,0.0,8
LEAD-20240084,2025-05-28,CMP-09,Customer Reactivation Drip,Email Marketing,SMB,Sales Qualified Lead,1,1,0,0,0.0,38
LEAD-20240085,2024-05-01,CMP-04,Thought Leadership Whitepaper,Organic Search (SEO),SMB,Marketing Qualified Lead,1,0,0,0,0.0,20
LEAD-20240086,2024-06-03,CMP-06,Creator Industry Endorsement,Influencer Partnerships,SMB,Lead Inbound,0,0,0,0,0.0,0
LEAD-20240087,2025-10-18,CMP-07,Mid-Market Webinar Series,LinkedIn Ads,SMB,Sales Qualified Lead,1,1,0,0,0.0,41
LEAD-20240088,2025-04-24,CMP-04,Thought Leadership Whitepaper,Organic Search (SEO),SMB,Opportunity,1,1,1,0,0.0,59
LEAD-20240089,2024-02-24,CMP-08,High-Intent Keyword Capture,Google Ads,Mid-Market,Lead Inbound,0,0,0,0,0.0,0
LEAD-20240090,2025-12-07,CMP-04,Thought Leadership Whitepaper,Organic Search (SEO),Mid-Market,Sales Qualified Lead,1,1,0,0,0.0,35
LEAD-20240091,2024-06-29,CMP-06,Creator Industry Endorsement,Influencer Partnerships,SMB,Lead Inbound,0,0,0,0,0.0,0
LEAD-20240092,2024-01-08,CMP-03,SaaS Growth Nurture Series,Email Marketing,SMB,Closed Won,1,1,1,1,6463.25,57
LEAD-20240093,2024-05-20,CMP-08,High-Intent Keyword Capture,Google Ads,SMB,Marketing Qualified Lead,1,0,0,0,0.0,19
LEAD-20240094,2024-12-22,CMP-03,SaaS Growth Nurture Series,Email Marketing,Mid-Market,Closed Won,1,1,1,1,12985.35,47
LEAD-20240095,2024-04-20,CMP-03,SaaS Growth Nurture Series,Email Marketing,Mid-Market,Marketing Qualified Lead,1,0,0,0,0.0,11
LEAD-20240096,2025-02-07,CMP-04,Thought Leadership Whitepaper,Organic Search (SEO),SMB,Marketing Qualified Lead,1,0,0,0,0.0,12
LEAD-20240097,2025-10-13,CMP-05,Retargeting & Social Boost,Meta (Facebook/IG),SMB,Lead Inbound,0,0,0,0,0.0,0
LEAD-20240098,2024-04-26,CMP-02,Enterprise Search Dominance,Google Ads,SMB,Lead Inbound,0,0,0,0,0.0,0
LEAD-20240099,2024-08-07,CMP-08,High-Intent Keyword Capture,Google Ads,SMB,Sales Qualified Lead,1,1,0,0,0.0,25
LEAD-20240100,2025-01-04,CMP-04,Thought Leadership Whitepaper,Organic Search (SEO),Enterprise,Lead Inbound,0,0,0,0,0.0,0
LEAD-20240101,2025-02-02,CMP-07,Mid-Market Webinar Series,LinkedIn Ads,Mid-Market,Sales Qualified Lead,1,1,0,0,0.0,30
LEAD-20240102,2025-08-17,CMP-04,Thought Leadership Whitepaper,Organic Search (SEO),Mid-Market,Marketing Qualified Lead,1,0,0,0,0.0,7
LEAD-20240103,2025-08-04,CMP-10,Summer Tech Brand Campaign,Meta (Facebook/IG),Mid-Market,Lead Inbound,0,0,0,0,0.0,0
LEAD-20240104,2024-08-02,CMP-04,Thought Leadership Whitepaper,Organic Search (SEO),Mid-Market,Lead Inbound,0,0,0,0,0.0,0
LEAD-20240105,2025-01-16,CMP-10,Summer Tech Brand Campaign,Meta (Facebook/IG),Mid-Market,Sales Qualified Lead,1,1,0,0,0.0,42
LEAD-20240106,2024-10-07,CMP-02,Enterprise Search Dominance,Google Ads,SMB,Marketing Qualified Lead,1,0,0,0,0.0,7
LEAD-20240107,2024-10-08,CMP-01,Q1 Product Launch Summit,LinkedIn Ads,SMB,Sales Qualified Lead,1,1,0,0,0.0,36
LEAD-20240108,2024-05-19,CMP-03,SaaS Growth Nurture Series,Email Marketing,Mid-Market,Marketing Qualified Lead,1,0,0,0,0.0,5
LEAD-20240109,2024-08-30,CMP-01,Q1 Product Launch Summit,LinkedIn Ads,Mid-Market,Lead Inbound,0,0,0,0,0.0,0
LEAD-20240110,2024-04-10,CMP-05,Retargeting & Social Boost,Meta (Facebook/IG),Mid-Market,Lead Inbound,0,0,0,0,0.0,0
LEAD-20240111,2024-08-17,CMP-01,Q1 Product Launch Summit,LinkedIn Ads,SMB,Opportunity,1,1,1,0,0.0,65
LEAD-20240112,2024-01-09,CMP-05,Retargeting & Social Boost,Meta (Facebook/IG),Mid-Market,Lead Inbound,0,0,0,0,0.0,0
LEAD-20240113,2024-07-02,CMP-08,High-Intent Keyword Capture,Google Ads,SMB,Lead Inbound,0,0,0,0,0.0,0
LEAD-20240114,2025-07-11,CMP-05,Retargeting & Social Boost,Meta (Facebook/IG),Mid-Market,Lead Inbound,0,0,0,0,0.0,0
LEAD-20240115,2024-07-14,CMP-01,Q1 Product Launch Summit,LinkedIn Ads,Mid-Market,Sales Qualified Lead,1,1,0,0,0.0,43
LEAD-20240116,2024-08-22,CMP-03,SaaS Growth Nurture Series,Email Marketing,Enterprise,Lead Inbound,0,0,0,0,0.0,0
LEAD-20240117,2024-02-21,CMP-04,Thought Leadership Whitepaper,Organic Search (SEO),Mid-Market,Sales Qualified Lead,1,1,0,0,0.0,17
LEAD-20240118,2024-11-06,CMP-05,Retargeting & Social Boost,Meta (Facebook/IG),SMB,Marketing Qualified Lead,1,0,0,0,0.0,12
LEAD-20240119,2025-05-07,CMP-02,Enterprise Search Dominance,Google Ads,Mid-Market,Marketing Qualified Lead,1,0,0,0,0.0,9
LEAD-20240120,2024-12-09,CMP-08,High-Intent Keyword Capture,Google Ads,Mid-Market,Lead Inbound,0,0,0,0,0.0,0
LEAD-20240121,2025-05-05,CMP-06,Creator Industry Endorsement,Influencer Partnerships,SMB,Lead Inbound,0,0,0,0,0.0,0
LEAD-20240122,2024-08-21,CMP-07,Mid-Market Webinar Series,LinkedIn Ads,SMB,Sales Qualified Lead,1,1,0,0,0.0,10
LEAD-20240123,2024-02-28,CMP-01,Q1 Product Launch Summit,LinkedIn Ads,Enterprise,Lead Inbound,0,0,0,0,0.0,0
LEAD-20240124,2024-02-04,CMP-07,Mid-Market Webinar Series,LinkedIn Ads,Mid-Market,Closed Won,1,1,1,1,17265.47,98
LEAD-20240125,2025-08-20,CMP-02,Enterprise Search Dominance,Google Ads,Mid-Market,Marketing Qualified Lead,1,0,0,0,0.0,17
LEAD-20240126,2025-12-13,CMP-10,Summer Tech Brand Campaign,Meta (Facebook/IG),SMB,Sales Qualified Lead,1,1,0,0,0.0,39
LEAD-20240127,2024-07-23,CMP-09,Customer Reactivation Drip,Email Marketing,Enterprise,Lead Inbound,0,0,0,0,0.0,0
LEAD-20240128,2025-06-17,CMP-05,Retargeting & Social Boost,Meta (Facebook/IG),Enterprise,Lead Inbound,0,0,0,0,0.0,0
LEAD-20240129,2024-08-03,CMP-06,Creator Industry Endorsement,Influencer Partnerships,SMB,Lead Inbound,0,0,0,0,0.0,0
LEAD-20240130,2025-09-15,CMP-01,Q1 Product Launch Summit,LinkedIn Ads,Mid-Market,Marketing Qualified Lead,1,0,0,0,0.0,10
LEAD-20240131,2025-07-24,CMP-07,Mid-Market Webinar Series,LinkedIn Ads,SMB,Sales Qualified Lead,1,1,0,0,0.0,16
LEAD-20240132,2024-05-04,CMP-06,Creator Industry Endorsement,Influencer Partnerships,SMB,Marketing Qualified Lead,1,0,0,0,0.0,3
LEAD-20240133,2024-10-10,CMP-09,Customer Reactivation Drip,Email Marketing,Mid-Market,Marketing Qualified Lead,1,0,0,0,0.0,15
LEAD-20240134,2024-07-02,CMP-04,Thought Leadership Whitepaper,Organic Search (SEO),SMB,Lead Inbound,0,0,0,0,0.0,0
LEAD-20240135,2025-12-06,CMP-07,Mid-Market Webinar Series,LinkedIn Ads,SMB,Lead Inbound,0,0,0,0,0.0,0
LEAD-20240136,2025-12-16,CMP-03,SaaS Growth Nurture Series,Email Marketing,Enterprise,Marketing Qualified Lead,1,0,0,0,0.0,19
LEAD-20240137,2025-10-07,CMP-05,Retargeting & Social Boost,Meta (Facebook/IG),Enterprise,Marketing Qualified Lead,1,0,0,0,0.0,5
LEAD-20240138,2024-12-14,CMP-09,Customer Reactivation Drip,Email Marketing,Mid-Market,Marketing Qualified Lead,1,0,0,0,0.0,18
LEAD-20240139,2025-11-15,CMP-08,High-Intent Keyword Capture,Google Ads,Enterprise,Lead Inbound,0,0,0,0,0.0,0
LEAD-20240140,2025-03-22,CMP-06,Creator Industry Endorsement,Influencer Partnerships,Mid-Market,Lead Inbound,0,0,0,0,0.0,0
LEAD-20240141,2024-01-18,CMP-08,High-Intent Keyword Capture,Google Ads,SMB,Marketing Qualified Lead,1,0,0,0,0.0,13
LEAD-20240142,2024-06-21,CMP-07,Mid-Market Webinar Series,LinkedIn Ads,SMB,Lead Inbound,0,0,0,0,0.0,0
LEAD-20240143,2025-02-11,CMP-09,Customer Reactivation Drip,Email Marketing,Mid-Market,Sales Qualified Lead,1,1,0,0,0.0,39
LEAD-20240144,2025-07-19,CMP-01,Q1 Product Launch Summit,LinkedIn Ads,Enterprise,Marketing Qualified Lead,1,0,0,0,0.0,3
LEAD-20240145,2025-06-01,CMP-04,Thought Leadership Whitepaper,Organic Search (SEO),Mid-Market,Closed Won,1,1,1,1,16474.0,114
LEAD-20240146,2025-11-02,CMP-07,Mid-Market Webinar Series,LinkedIn Ads,Mid-Market,Sales Qualified Lead,1,1,0,0,0.0,24
LEAD-20240147,2024-10-10,CMP-02,Enterprise Search Dominance,Google Ads,Enterprise,Marketing Qualified Lead,1,0,0,0,0.0,10
LEAD-20240148,2024-07-18,CMP-08,High-Intent Keyword Capture,Google Ads,Mid-Market,Sales Qualified Lead,1,1,0,0,0.0,40
LEAD-20240149,2024-11-17,CMP-06,Creator Industry Endorsement,Influencer Partnerships,Mid-Market,Lead Inbound,0,0,0,0,0.0,0
LEAD-20240150,2024-05-14,CMP-03,SaaS Growth Nurture Series,Email Marketing,Mid-Market,Marketing Qualified Lead,1,0,0,0,0.0,4
LEAD-20240151,2024-11-23,CMP-10,Summer Tech Brand Campaign,Meta (Facebook/IG),SMB,Marketing Qualified Lead,1,0,0,0,0.0,20
LEAD-20240152,2024-01-30,CMP-09,Customer Reactivation Drip,Email Marketing,Mid-Market,Marketing Qualified Lead,1,0,0,0,0.0,9
LEAD-20240153,2025-08-15,CMP-03,SaaS Growth Nurture Series,Email Marketing,SMB,Marketing Qualified Lead,1,0,0,0,0.0,14
LEAD-20240154,2024-05-26,CMP-09,Customer Reactivation Drip,Email Marketing,Enterprise,Sales Qualified Lead,1,1,0,0,0.0,22
LEAD-20240155,2024-11-05,CMP-08,High-Intent Keyword Capture,Google Ads,SMB,Marketing Qualified Lead,1,0,0,0,0.0,19
LEAD-20240156,2025-07-08,CMP-03,SaaS Growth Nurture Series,Email Marketing,Enterprise,Marketing Qualified Lead,1,0,0,0,0.0,3
LEAD-20240157,2025-03-14,CMP-03,SaaS Growth Nurture Series,Email Marketing,Mid-Market,Marketing Qualified Lead,1,0,0,0,0.0,13
LEAD-20240158,2024-01-06,CMP-10,Summer Tech Brand Campaign,Meta (Facebook/IG),SMB,Lead Inbound,0,0,0,0,0.0,0
LEAD-20240159,2024-07-04,CMP-02,Enterprise Search Dominance,Google Ads,SMB,Lead Inbound,0,0,0,0,0.0,0
LEAD-20240160,2024-09-09,CMP-10,Summer Tech Brand Campaign,Meta (Facebook/IG),SMB,Lead Inbound,0,0,0,0,0.0,0
LEAD-20240161,2025-11-22,CMP-05,Retargeting & Social Boost,Meta (Facebook/IG),SMB,Lead Inbound,0,0,0,0,0.0,0
LEAD-20240162,2024-10-29,CMP-06,Creator Industry Endorsement,Influencer Partnerships,SMB,Lead Inbound,0,0,0,0,0.0,0
LEAD-20240163,2025-09-27,CMP-08,High-Intent Keyword Capture,Google Ads,Mid-Market,Marketing Qualified Lead,1,0,0,0,0.0,7
LEAD-20240164,2024-07-30,CMP-08,High-Intent Keyword Capture,Google Ads,SMB,Sales Qualified Lead,1,1,0,0,0.0,37
LEAD-20240165,2024-01-26,CMP-07,Mid-Market Webinar Series,LinkedIn Ads,SMB,Closed Won,1,1,1,1,4644.2,50
LEAD-20240166,2024-06-19,CMP-02,Enterprise Search Dominance,Google Ads,Enterprise,Marketing Qualified Lead,1,0,0,0,0.0,20
LEAD-20240167,2024-01-14,CMP-06,Creator Industry Endorsement,Influencer Partnerships,Mid-Market,Marketing Qualified Lead,1,0,0,0,0.0,16
LEAD-20240168,2025-08-29,CMP-01,Q1 Product Launch Summit,LinkedIn Ads,Mid-Market,Marketing Qualified Lead,1,0,0,0,0.0,8
LEAD-20240169,2024-05-24,CMP-07,Mid-Market Webinar Series,LinkedIn Ads,Enterprise,Sales Qualified Lead,1,1,0,0,0.0,26
LEAD-20240170,2025-09-22,CMP-03,SaaS Growth Nurture Series,Email Marketing,Enterprise,Closed Won,1,1,1,1,21946.31,119
LEAD-20240171,2024-01-26,CMP-06,Creator Industry Endorsement,Influencer Partnerships,Enterprise,Lead Inbound,0,0,0,0,0.0,0
LEAD-20240172,2024-09-01,CMP-03,SaaS Growth Nurture Series,Email Marketing,Mid-Market,Sales Qualified Lead,1,1,0,0,0.0,18
LEAD-20240173,2025-04-30,CMP-08,High-Intent Keyword Capture,Google Ads,Enterprise,Sales Qualified Lead,1,1,0,0,0.0,25
LEAD-20240174,2024-06-05,CMP-05,Retargeting & Social Boost,Meta (Facebook/IG),Mid-Market,Marketing Qualified Lead,1,0,0,0,0.0,15
LEAD-20240175,2025-11-02,CMP-04,Thought Leadership Whitepaper,Organic Search (SEO),SMB,Marketing Qualified Lead,1,0,0,0,0.0,13
LEAD-20240176,2025-10-29,CMP-06,Creator Industry Endorsement,Influencer Partnerships,SMB,Lead Inbound,0,0,0,0,0.0,0
LEAD-20240177,2024-04-16,CMP-10,Summer Tech Brand Campaign,Meta (Facebook/IG),Enterprise,Lead Inbound,0,0,0,0,0.0,0
LEAD-20240178,2025-04-12,CMP-03,SaaS Growth Nurture Series,Email Marketing,Enterprise,Lead Inbound,0,0,0,0,0.0,0
LEAD-20240179,2024-02-07,CMP-06,Creator Industry Endorsement,Influencer Partnerships,SMB,Marketing Qualified Lead,1,0,0,0,0.0,15
LEAD-20240180,2024-12-12,CMP-08,High-Intent Keyword Capture,Google Ads,Mid-Market,Marketing Qualified Lead,1,0,0,0,0.0,14
LEAD-20240181,2024-07-14,CMP-05,Retargeting & Social Boost,Meta (Facebook/IG),Mid-Market,Lead Inbound,0,0,0,0,0.0,0
LEAD-20240182,2024-09-08,CMP-05,Retargeting & Social Boost,Meta (Facebook/IG),Mid-Market,Lead Inbound,0,0,0,0,0.0,0
LEAD-20240183,2024-01-20,CMP-06,Creator Industry Endorsement,Influencer Partnerships,Enterprise,Marketing Qualified Lead,1,0,0,0,0.0,5
LEAD-20240184,2024-02-08,CMP-06,Creator Industry Endorsement,Influencer Partnerships,Mid-Market,Marketing Qualified Lead,1,0,0,0,0.0,19
LEAD-20240185,2025-11-08,CMP-06,Creator Industry Endorsement,Influencer Partnerships,Mid-Market,Marketing Qualified Lead,1,0,0,0,0.0,5
LEAD-20240186,2025-02-10,CMP-06,Creator Industry Endorsement,Influencer Partnerships,Enterprise,Lead Inbound,0,0,0,0,0.0,0
LEAD-20240187,2024-05-27,CMP-04,Thought Leadership Whitepaper,Organic Search (SEO),SMB,Sales Qualified Lead,1,1,0,0,0.0,18
LEAD-20240188,2024-12-13,CMP-03,SaaS Growth Nurture Series,Email Marketing,Mid-Market,Marketing Qualified Lead,1,0,0,0,0.0,5
