order_id,order_date,customer_id,customer_name,segment,region,category,sub_category,product_name,unit_price,quantity,discount,sales,profit,shipping_mode
ORD-20240019,2024-07-21,CUST-0824,Customer_824,Consumer,West,Technology,Laptops & PCs,Technology - Laptops & PCs,151.05,2,0.05,287.0,73.11,Standard Class
ORD-20240020,2025-09-10,CUST-0675,Customer_675,Corporate,North,Furniture,Ergonomic Chairs,Furniture - Ergonomic Chairs,429.2,2,0.0,858.4,87.11,Standard Class
ORD-20240021,2025-09-09,CUST-0114,Customer_114,Home Office,South,Technology,Printers,Technology - Printers,133.96,2,0.0,267.92,76.91,Second Class
ORD-20240022,2024-04-14,CUST-0398,Customer_398,Corporate,Central,Technology,Networking,Technology - Networking,776.27,1,0.1,698.64,134.26,Second Class
ORD-20240023,2025-05-07,CUST-0775,Customer_775,Home Office,North,Technology,Smartphones,Technology - Smartphones,663.05,1,0.2,530.44,60.65,Standard Class
ORD-20240024,2025-03-02,CUST-0214,Customer_214,Consumer,East,Office Supplies,Paper & Stationery,Office Supplies - Paper & Stationery,112.08,1,0.0,112.08,25.92,Second Class
ORD-20240025,2024-10-15,CUST-0103,Customer_103,Home Office,East,Technology,Laptops & PCs,Technology - Laptops & PCs,142.01,1,0.1,127.81,25.26,Standard Class
ORD-20240026,2024-12-17,CUST-0655,Customer_655,Corporate,East,Furniture,Bookcases,Furniture - Bookcases,762.97,1,0.1,686.67,20.77,Standard Class
ORD-20240027,2025-01-16,CUST-0099,Customer_99,Home Office,East,Furniture,Ergonomic Chairs,Furniture - Ergonomic Chairs,175.93,1,0.05,167.13,4.92,Standard Class
ORD-20240028,2024-12-19,CUST-0340,Customer_340,Home Office,East,Furniture,Ergonomic Chairs,Furniture - Ergonomic Chairs,532.7,1,0.0,532.7,45.23,First Class
ORD-20240029,2025-04-06,CUST-0647,Customer_647,Corporate,North,Technology,Peripherals,Technology - Peripherals,1076.21,2,0.05,2044.8,490.64,Standard Class
ORD-20240030,2025-08-15,CUST-0515,Customer_515,Consumer,West,Furniture,Filing Cabinets,Furniture - Filing Cabinets,590.26,1,0.05,560.75,26.53,Second Class
ORD-20240031,2025-06-14,CUST-0396,Customer_396,Consumer,West,Technology,Laptops & PCs,Technology - Laptops & PCs,1219.24,4,0.1,4389.26,835.58,Standard Class
ORD-20240032,2025-07-01,CUST-0050,Customer_50,Home Office,North,Technology,Peripherals,Technology - Peripherals,883.08,2,0.05,1677.85,412.35,Standard Class
ORD-20240033,2024-03-04,CUST-0003,Customer_3,Consumer,East,Technology,Printers,Technology - Printers,1132.97,2,0.0,2265.94,650.27,First Class
ORD-20240034,2025-01-18,CUST-0456,Customer_456,Home Office,Central,Technology,Laptops & PCs,Technology - Laptops & PCs,337.21,1,0.1,303.49,53.37,Standard Class
ORD-20240035,2025-06-07,CUST-0701,Customer_701,Consumer,South,Technology,Smartphones,Technology - Smartphones,493.71,3,,1333.02,282.11,Standard Class
ORD-20240036,2024-05-22,CUST-0308,Customer_308,Corporate,North,Office Supplies,Desk Organization,Office Supplies - Desk Organization,154.13,2,0.1,277.43,44.07,Second Class
ORD-20240037,2024-09-21,CUST-0443,Customer_443,Home Office,North,Technology,Networking,Technology - Networking,787.02,1,0.1,708.32,143.07,First Class
ORD-20240038,2024-12-29,CUST-0645,Customer_645,Consumer,Central,Technology,Laptops & PCs,Technology - Laptops & PCs,1242.58,1,0.05,1180.45,285.79,Standard Class
ORD-20240039,2024-12-05,CUST-0344,Customer_344,Home Office,West,Furniture,Bookcases,Furniture - Bookcases,624.98,1,0.05,593.73,35.81,First Class
ORD-20240040,2024-11-08,CUST-0749,Customer_749,Corporate,West,Office Supplies,Desk Organization,Office Supplies - Desk Organization,134.44,3,0.0,403.32,97.07,Second Class
ORD-20240041,2025-08-13,CUST-0591,Customer_591,Corporate,Central,Office Supplies,Desk Organization,Office Supplies - Desk Organization,54.3,2,0.0,108.6,20.98,First Class
ORD-20240042,2024-12-20,CUST-0416,Customer_416,Corporate,West,Office Supplies,Desk Organization,Office Supplies - Desk Organization,93.76,1,0.0,93.76,21.61,Second Class
ORD-20240043,2024-04-19,CUST-0242,Customer_242,Corporate,North,office supplies  ,Pens & Markers,Office Supplies - Pens & Markers,33.91,2,0.0,67.82,14.92,First Class
ORD-20240044,2024-11-13,CUST-0246,Customer_246,Consumer,East,Office Supplies,Binders & Storage,Office Supplies - Binders & Storage,100.03,1,0.0,100.03,19.67,Standard Class
ORD-20240045,2024-12-03,CUST-0653,Customer_653,Consumer,South,Technology,Printers,Technology - Printers,96.51,1,0.3,67.56,5.36,Standard Class
ORD-20240046,2025-10-17,CUST-0124,Customer_124,Corporate,South,Technology,Networking,Technology - Networking,1068.4,1,0.0,1068.4,277.08,Standard Class
ORD-20240047,2025-01-25,CUST-0666,Customer_666,Corporate,North,Office Supplies,Binders & Storage,Office Supplies - Binders & Storage,40.3,1,0.0,40.3,8.41,Same Day
ORD-20240048,2024-08-29,CUST-0739,Customer_739,Corporate,South,Office Supplies,Desk Organization,Office Supplies - Desk Organization,24.07,2,0.0,48.14,10.15,Standard Class
ORD-20240049,2024-10-08,CUST-0533,Customer_533,Corporate,West,Office Supplies,Binders & Storage,Office Supplies - Binders & Storage,95.19,1,0.05,90.43,14.98,Standard Class
ORD-20240050,2025-11-15,CUST-0355,Customer_355,Corporate,South,Technology,Peripherals,Technology - Peripherals,265.39,1,0.05,252.12,65.68,First Class
ORD-20240051,2024-04-21,CUST-0392,Customer_392,Consumer,North,Furniture,Filing Cabinets,Furniture - Filing Cabinets,521.69,4,0.0,2086.76,218.64,First Class
ORD-20240052,2024-07-11,CUST-0255,Customer_255,Corporate,North,Office Supplies,Pens & Markers,Office Supplies - Pens & Markers,76.14,4,0.05,289.33,57.93,Standard Class
ORD-20240053,2024-04-11,CUST-0558,Customer_558,Home Office,North,Technology,Peripherals,Technology - Peripherals,940.99,3,0.0,2822.97,753.41,Standard Class
ORD-20240054,2025-11-30,CUST-0138,Customer_138,Corporate,East,Technology,Smartphones,Technology - Smartphones,880.25,2,,1760.5,449.06,Standard Class
ORD-20240055,2025-02-06,CUST-0066,Customer_66,Consumer,East,Furniture,Filing Cabinets,Furniture - Filing Cabinets,174.88,1,0.0,174.88,17.8,Standard Class
ORD-20240056,2024-12-14,CUST-0215,Customer_215,Home Office,North,Office Supplies,Desk Organization,Office Supplies - Desk Organization,105.05,1,0.0,105.05,23.9,Standard Class
ORD-20240057,2025-11-25,CUST-0548,Customer_548,Consumer,South,Technology,Smartphones,Technology - Smartphones,262.9,3,0.0,788.7,229.44,Standard Class
ORD-20240058,2025-08-09,CUST-0430,Customer_430,Home Office,South,Technology,Laptops & PCs,Technology - Laptops & PCs,860.49,1,0.0,860.49,247.84,Standard Class
ORD-20240059,2025-03-24,CUST-0169,Customer_169,Consumer,South,Office Supplies,Paper & Stationery,Office Supplies - Paper & Stationery,160.68,1,0.1,144.61,18.06,Second Class
ORD-20240060,2025-11-01,CUST-0228,Customer_228,Corporate,North,Office Supplies,Pens & Markers,Office Supplies - Pens & Markers,169.19,4,0.05,642.92,108.19,Second Class
ORD-20240061,2025-07-06,CUST-0727,Customer_727,Corporate,Central,Furniture,Bookcases,Furniture - Bookcases,369.51,2,0.0,739.02,59.75,Standard Class
ORD-20240062,2024-11-24,CUST-0739,Customer_739,Corporate,South,Technology,Printers,Technology - Printers,323.67,3,0.0,971.01,272.41,Standard Class
ORD-20240063,2024-05-12,CUST-0815,Customer_815,Home Office,East,Technology,Peripherals,Technology - Peripherals,561.06,2,0.0,1122.12,337.84,Standard Class
ORD-20240064,2024-01-26,CUST-0402,Customer_402,Corporate,North,Technology,Printers,Technology - Printers,410.54,1,0.2,328.43,38.88,Standard Class
ORD-20240065,2024-06-25,CUST-0286,Customer_286,Corporate,West,Furniture,Filing Cabinets,Furniture - Filing Cabinets,484.06,2,0.0,968.12,71.61,Standard Class
ORD-20240066,2024-07-12,CUST-0004,Customer_4,Consumer,North,Technology,Networking,Technology - Networking,766.97,1,0.05,728.62,177.23,Second Class
ORD-20240067,2024-04-29,CUST-0609,Customer_609,Home Office,West,Technology,Smartphones,Technology - Smartphones,1082.48,1,0.05,1028.36,236.4,Second Class
ORD-20240068,2024-10-26,CUST-0020,Customer_20,Consumer,West,Technology,Laptops & PCs,Technology - Laptops & PCs,1232.64,1,0.15,1047.74,204.04,Second Class
ORD-20240069,2024-07-28,CUST-0467,Customer_467,Consumer,Central,Furniture,Standing Desks,Furniture - Standing Desks,821.82,1,0.0,821.82,65.95,Standard Class
ORD-20240070,2025-09-15,CUST-0162,Customer_162,Corporate,East,Technology,Networking,Technology - Networking,463.13,8,0.15,3149.28,501.63,Standard Class
ORD-20240071,2024-03-04,CUST-0224,Customer_224,Consumer,South,Office Supplies,Paper & Stationery,Office Supplies - Paper & Stationery,96.2,5,0.1,432.9,60.43,Second Class
ORD-20240072,2025-02-14,CUST-0748,Customer_748,Consumer,North,Technology,Networking,Technology - Networking,617.41,1,0.1,555.67,110.38,First Class
ORD-20240073,2024-05-03,CUST-0409,Customer_409,Corporate,South,Furniture,Standing Desks,Furniture - Standing Desks,600.38,2,0.0,1200.76,92.33,Second Class
ORD-20240074,2024-01-04,CUST-0425,Customer_425,Consumer,South,Technology,Networking,Technology - Networking,1221.16,1,0.0,1221.16,344.0,Standard Class
ORD-20240075,2025-02-17,CUST-0698,Customer_698,Consumer,South,Furniture,Ergonomic Chairs,Furniture - Ergonomic Chairs,442.8,4,0.0,1771.2,180.33,Standard Class
ORD-20240076,2024-08-16,CUST-0472,Customer_472,Corporate,North,Technology,Laptops & PCs,Technology - Laptops & PCs,380.81,2,0.2,609.3,66.57,Second Class
ORD-20240077,2025-01-18,CUST-0320,Customer_320,Home Office,West,Technology,Networking,Technology - Networking,1070.34,2,0.0,2140.68,543.78,Standard Class
ORD-20240078,2025-04-22,CUST-0565,Customer_565,Consumer,North,Furniture,Standing Desks,Furniture - Standing Desks,164.49,1,0.2,131.59,-9.69,Second Class
ORD-20240079,2024-06-22,CUST-0334,Customer_334,Corporate,Central,Technology,Laptops & PCs,Technology - Laptops & PCs,451.02,3,0.05,1285.41,283.3,Second Class
ORD-20240080,2025-08-13,CUST-0499,Customer_499,Consumer,West,Technology,Laptops & PCs,Technology - Laptops & PCs,160.21,3,0.3,336.44,22.16,Standard Class
ORD-20240081,2025-01-26,CUST-0695,Customer_695,Home Office,West,Office Supplies,Pens & Markers,Office Supplies - Pens & Markers,42.98,2,0.05,81.66,12.77,Standard Class
ORD-20240082,2025-02-08,CUST-0234,Customer_234,Corporate,North,Technology,Networking,Technology - Networking,1356.96,1,0.3,949.87,65.27,Standard Class
ORD-20240083,2025-10-16,CUST-0471,Customer_471,Corporate,North,Technology,Peripherals,Technology - Peripherals,1111.15,4,0.0,4444.6,1203.47,Second Class
ORD-20240084,2024-06-04,CUST-0523,Customer_523,Consumer,South,Technology,Printers,Technology - Printers,1244.03,2,0.15,2114.85,300.8,Second Class
ORD-20240085,2025-09-01,CUST-0278,Customer_278,Consumer,South,Office Supplies,Pens & Markers,Office Supplies - Pens & Markers,36.67,2,0.1,66.01,7.67,Second Class
ORD-20240086,2025-01-28,CUST-0232,Customer_232,Consumer,Central,Furniture,Bookcases,Furniture - Bookcases,474.68,3,0.0,1424.04,104.47,Standard Class
ORD-20240087,2025-01-14,CUST-0760,Customer_760,Consumer,East,Furniture,Ergonomic Chairs,Furniture - Ergonomic Chairs,771.38,1,0.05,732.81,30.34,Second Class
ORD-20240088,2025-05-06,CUST-0528,Customer_528,Corporate,East,Furniture,Ergonomic Chairs,Furniture - Ergonomic Chairs,268.61,1,0.0,268.61,21.64,Second Class
ORD-20240089,2024-05-21,CUST-0718,Customer_718,Consumer,North,Technology,Laptops & PCs,Technology - Laptops & PCs,1195.8,3,0.0,3587.4,931.3,Standard Class
ORD-20240090,2024-05-28,CUST-0107,Customer_107,Home Office,South,Technology,Smartphones,Technology - Smartphones,100.4,1,0.0,100.4,27.52,Second Class
ORD-20240091,2025-06-15,CUST-0424,Customer_424,Consumer,Central,Furniture,Filing Cabinets,Furniture - Filing Cabinets,418.4,2,0.0,836.8,79.38,First Class
ORD-20240092,2024-06-08,CUST-0236,Customer_236,Corporate,East,Technology,Printers,Technology - Printers,1031.86,3,0.0,3095.58,889.32,Same Day
ORD-20240093,2024-01-21,CUST-0184,Customer_184,Consumer,South,Technology,Smartphones,Technology - Smartphones,1322.0,1,0.1,1189.8,216.09,Standard Class
ORD-20240094,2024-02-29,CUST-0352,Customer_352,Consumer,North,Technology,Laptops & PCs,Technology - Laptops & PCs,703.52,1,0.0,703.52,190.95,Standard Class
ORD-20240095,2024-03-26,CUST-0464,Customer_464,Consumer,East,Furniture,Standing Desks,Furniture - Standing Desks,130.24,1,0.2,104.19,-7.18,Same Day
ORD-20240096,2024-02-07,CUST-0761,Customer_761,Corporate,North,Office Supplies,Paper & Stationery,Office Supplies - Paper & Stationery,113.1,1,0.15,96.13,11.1,First Class
ORD-20240097,2024-02-14,CUST-0158,Customer_158,Corporate,West,Technology,Printers,Technology - Printers,1383.96,1,0.1,1245.56,276.54,Second Class
ORD-20240098,2025-02-01,CUST-0338,Customer_338,Consumer,East,Technology,Networking,Technology - Networking,598.67,2,0.0,1197.34,339.8,Standard Class
ORD-20240099,2025-04-02,CUST-0719,Customer_719,Corporate,East,Office Supplies,Pens & Markers,Office Supplies - Pens & Markers,151.96,1,0.1,136.76,22.0,Standard Class
ORD-20240100,2024-04-13,CUST-0340,Customer_340,Home Office,East,Office Supplies,Desk Organization,Office Supplies - Desk Organization,37.9,1,0.0,37.9,8.65,Second Class
ORD-20240101,2024-09-13,CUST-0422,Customer_422,Home Office,North,Office Supplies,Pens & Markers,Office Supplies - Pens & Markers,127.75,1,0.05,121.36,22.98,First Class
ORD-20240102,2025-03-22,CUST-0312,Customer_312,Corporate,Central,Technology,Printers,Technology - Printers,849.79,2,,1189.71,67.93,Standard Class
ORD-20240103,2024-04-27,CUST-0488,Customer_488,Home Office,North,Furniture,Filing Cabinets,Furniture - Filing Cabinets,537.54,5,0.0,2687.7,267.45,First Class
ORD-20240104,2025-09-03,CUST-0149,Customer_149,Consumer,North,Technology,Peripherals,Technology - Peripherals,1194.18,1,0.05,1134.47,267.08,Same Day
ORD-20240105,2024-04-03,CUST-0327,Customer_327,Corporate,Central,Technology,Networking,Technology - Networking,1073.51,2,0.1,1932.32,400.63,Second Class
ORD-20240106,2025-04-05,CUST-0707,Customer_707,Consumer,Central,Furniture,Standing Desks,Furniture - Standing Desks,121.76,2,0.15,206.99,-8.98,First Class
ORD-20240107,2024-10-05,CUST-0306,Customer_306,Corporate,North,Technology,Peripherals,Technology - Peripherals,1304.21,2,0.1,2347.58,498.41,Standard Class
ORD-20240108,2024-09-23,CUST-0176,Customer_176,Consumer,North,Technology,Printers,Technology - Printers,1051.95,1,0.05,999.35,220.11,Standard Class
ORD-20240109,2025-09-03,CUST-0573,Customer_573,Corporate,North,Furniture,Bookcases,Furniture - Bookcases,842.34,1,0.0,842.34,49.98,First Class
ORD-20240110,2025-09-18,CUST-0633,Customer_633,Home Office,West,Office Supplies,Paper & Stationery,Office Supplies - Paper & Stationery,37.64,1,0.0,37.64,8.41,Same Day
ORD-20240111,2025-09-12,CUST-0392,Customer_392,Consumer,North,Office Supplies,Pens & Markers,Office Supplies - Pens & Markers,172.95,1,0.0,172.95,37.78,Standard Class
ORD-20240112,2025-10-22,CUST-0337,Customer_337,Consumer,Central,Technology,Networking,Technology - Networking,1283.07,1,0.0,1283.07,356.52,Standard Class
ORD-20240113,2024-06-01,CUST-0163,Customer_163,Corporate,South,Technology,Printers,Technology - Printers,679.32,1,0.3,475.52,29.55,First Class
ORD-20240114,2024-01-03,CUST-0184,Customer_184,Consumer,South,Office Supplies,Desk Organization,Office Supplies - Desk Organization,167.51,3,0.0,502.53,114.52,Standard Class
ORD-20240115,2024-04-04,CUST-0034,Customer_34,Corporate,West,Furniture,Filing Cabinets,Furniture - Filing Cabinets,259.45,3,0.0,778.35,57.48,Standard Class
ORD-20240116,2024-03-31,CUST-0267,Customer_267,Corporate,East,Technology,Networking,Technology - Networking,897.08,4,0.0,3588.32,1008.26,Standard Class
ORD-20240117,2024-10-30,CUST-0208,Customer_208,Corporate,East,Furniture,Standing Desks,Furniture - Standing Desks,719.77,1,0.0,719.77,69.73,Second Class
ORD-20240118,2024-01-18,CUST-0465,Customer_465,Corporate,West,Technology,Peripherals,Technology - Peripherals,608.79,2,0.15,1034.94,185.22,Second Class
ORD-20240119,2025-09-13,CUST-0463,Customer_463,Corporate,East,Office Supplies,Paper & Stationery,Office Supplies - Paper & Stationery,60.58,2,0.2,96.93,7.83,Second Class
ORD-20240120,2024-10-28,CUST-0666,Customer_666,Corporate,North,Technology,Peripherals,Technology - Peripherals,1072.41,2,0.05,2037.58,455.79,Standard Class
ORD-20240121,2025-10-13,CUST-0565,Customer_565,Consumer,North,Furniture,Bookcases,Furniture - Bookcases,341.76,1,0.05,324.67,19.23,Standard Class
ORD-20240122,2025-10-12,CUST-0539,Customer_539,Home Office,West,Office Supplies,Desk Organization,Office Supplies - Desk Organization,67.77,4,0.0,271.08,59.48,Second Class
ORD-20240123,2025-09-16,CUST-0693,Customer_693,Consumer,North,Office Supplies,Binders & Storage,Office Supplies - Binders & Storage,77.47,5,0.05,367.98,68.92,Standard Class
ORD-20240124,2025-06-12,CUST-0085,Customer_85,Corporate,North,Technology,Peripherals,Technology - Peripherals,1268.24,5,0.05,6024.14,1568.26,First Class
ORD-20240125,2025-01-09,CUST-0278,Customer_278,Consumer,South,Furniture,Bookcases,Furniture - Bookcases,511.61,1,0.0,511.61,52.27,Standard Class
ORD-20240126,2024-10-13,CUST-0570,Customer_570,Corporate,East,Technology,Peripherals,Technology - Peripherals,735.9,1,0.15,625.51,111.53,Standard Class
ORD-20240127,2025-10-18,CUST-0634,Customer_634,Corporate,West,Technology,Peripherals,Technology - Peripherals,333.27,1,0.1,299.94,57.68,Same Day
ORD-20240128,2024-01-14,CUST-0572,Customer_572,Corporate,South,Office Supplies,Desk Organization,Office Supplies - Desk Organization,138.42,1,0.15,117.66,11.4,First Class
ORD-20240129,2025-06-16,CUST-0466,Customer_466,Consumer,Central,office supplies  ,Desk Organization,Office Supplies - Desk Organization,16.59,2,0.0,33.18,7.59,Second Class
ORD-20240130,2024-03-08,CUST-0427,Customer_427,Consumer,South,Technology,Printers,Technology - Printers,1266.27,3,0.0,3798.81,1136.08,Standard Class
ORD-20240131,2024-01-28,CUST-0347,Customer_347,Consumer,Central,Office Supplies,Pens & Markers,Office Supplies - Pens & Markers,158.56,2,0.0,317.12,62.95,Standard Class
ORD-20240132,2024-05-22,CUST-0507,Customer_507,Corporate,East,Furniture,Filing Cabinets,Furniture - Filing Cabinets,449.89,1,0.0,449.89,44.63,Second Class
ORD-20240133,2025-09-21,CUST-0017,Customer_17,Consumer,East,Technology,Smartphones,Technology - Smartphones,655.6,4,0.1,2360.16,503.62,First Class
ORD-20240134,2025-02-10,CUST-0268,Customer_268,Consumer,East,Furniture,Standing Desks,Furniture - Standing Desks,149.68,1,0.0,149.68,11.48,Standard Class
ORD-20240135,2024-02-09,CUST-0503,Customer_503,Corporate,South,Furniture,Ergonomic Chairs,Furniture - Ergonomic Chairs,486.16,1,0.0,486.16,50.46,Second Class
ORD-20240136,2025-11-19,CUST-0297,Customer_297,Consumer,West,Furniture,Bookcases,Furniture - Bookcases,564.36,1,0.1,507.92,5.0,Standard Class
ORD-20240137,2025-10-31,CUST-0540,Customer_540,Home Office,North,Furniture,Ergonomic Chairs,Furniture - Ergonomic Chairs,803.6,1,0.0,803.6,69.7,Standard Class
ORD-20240138,2024-01-18,CUST-0270,Customer_270,Home Office,East,office supplies  ,Paper & Stationery,Office Supplies - Paper & Stationery,27.84,1,,25.06,3.48,Standard Class
ORD-20240139,2024-12-21,CUST-0230,Customer_230,Consumer,West,Technology,Peripherals,Technology - Peripherals,961.48,2,0.0,1922.96,483.42,First Class
ORD-20240140,2024-08-03,CUST-0055,Customer_55,Corporate,East,Technology,Smartphones,Technology - Smartphones,1296.93,1,0.3,907.85,66.57,Standard Class
ORD-20240141,2025-03-04,CUST-0166,Customer_166,Corporate,North,Technology,Networking,Technology - Networking,840.19,2,0.0,1680.38,434.35,Standard Class
ORD-20240142,2025-07-08,CUST-0340,Customer_340,Home Office,East,Furniture,Filing Cabinets,Furniture - Filing Cabinets,768.73,3,0.2,1844.95,-88.93,Standard Class
ORD-20240143,2024-09-08,CUST-0208,Customer_208,Corporate,East,Technology,Printers,Technology - Printers,325.62,1,0.05,309.34,75.89,Second Class
ORD-20240144,2024-12-12,CUST-0493,Customer_493,Home Office,East,Office Supplies,Paper & Stationery,Office Supplies - Paper & Stationery,63.49,1,0.0,63.49,14.94,Standard Class
ORD-20240145,2025-06-20,CUST-0593,Customer_593,Consumer,West,Technology,Networking,Technology - Networking,1123.6,1,0.0,1123.6,284.94,Second Class
ORD-20240146,2024-12-22,CUST-0551,Customer_551,Consumer,East,Office Supplies,Desk Organization,Office Supplies - Desk Organization,33.21,1,0.0,33.21,7.04,Second Class
ORD-20240147,2024-03-22,CUST-0379,Customer_379,Consumer,East,Office Supplies,Binders & Storage,Office Supplies - Binders & Storage,156.0,2,0.0,312.0,65.61,First Class
ORD-20240148,10/04/2025,CUST-0399,Customer_399,Consumer,North,Furniture,Filing Cabinets,Furniture - Filing Cabinets,287.09,1,0.0,287.09,27.01,Standard Class
ORD-20240149,2025-02-14,CUST-0229,Customer_229,Home Office,North,Furniture,Standing Desks,Furniture - Standing Desks,715.94,2,0.05,1360.29,78.88,Standard Class
ORD-20240150,2024-12-22,CUST-0283,Customer_283,Home Office,West,Furniture,Bookcases,Furniture - Bookcases,426.18,1,0.0,426.18,36.27,Standard Class
ORD-20240151,2025-08-18,CUST-0401,Customer_401,Corporate,Central,furniture  ,Ergonomic Chairs,Furniture - Ergonomic Chairs,292.03,1,0.0,292.03,31.2,Standard Class
ORD-20240152,2024-12-09,CUST-0316,Customer_316,Corporate,South,Technology,Printers,Technology - Printers,81.07,1,0.0,81.07,22.88,Standard Class
ORD-20240153,2025-11-27,CUST-0389,Customer_389,Consumer,Central,Technology,Smartphones,Technology - Smartphones,1294.89,2,0.0,2589.78,766.64,First Class
ORD-20240154,2025-06-20,CUST-0435,Customer_435,Consumer,East,Technology,Laptops & PCs,Technology - Laptops & PCs,388.67,4,0.15,1321.48,254.05,Standard Class
ORD-20240155,2024-07-19,CUST-0780,Customer_780,Corporate,North,Office Supplies,Binders & Storage,Office Supplies - Binders & Storage,22.91,1,0.0,22.91,5.43,Standard Class
ORD-20240156,2024-07-28,CUST-0839,Customer_839,Corporate,South,Office Supplies,Binders & Storage,Office Supplies - Binders & Storage,173.2,3,0.15,441.66,49.06,First Class
ORD-20240157,2024-02-08,CUST-0444,Customer_444,Consumer,West,Technology,Smartphones,Technology - Smartphones,1360.8,1,0.0,1360.8,385.46,Second Class
ORD-20240158,2024-10-27,CUST-0389,Customer_389,Consumer,Central,Technology,Networking,Technology - Networking,1032.72,1,0.0,1032.72,273.56,Second Class
ORD-20240159,2025-09-02,CUST-0379,Customer_379,Consumer,East,Technology,Peripherals,Technology - Peripherals,940.12,3,0.1,2538.32,541.01,Standard Class
ORD-20240160,2025-08-21,CUST-0682,Customer_682,Consumer,Central,Furniture,Standing Desks,Furniture - Standing Desks,439.82,1,0.0,439.82,48.19,Standard Class
ORD-20240161,2025-08-10,CUST-0834,Customer_834,Corporate,South,Furniture,Standing Desks,Furniture - Standing Desks,768.79,1,0.1,691.91,-1.71,First Class
ORD-20240162,2024-03-10,CUST-0713,Customer_713,Consumer,North,Technology,Laptops & PCs,Technology - Laptops & PCs,210.11,1,0.0,210.11,62.49,Standard Class
ORD-20240163,2024-11-18,CUST-0139,Customer_139,Consumer,South,Office Supplies,Paper & Stationery,Office Supplies - Paper & Stationery,74.98,3,0.0,224.94,55.7,Same Day
ORD-20240164,2024-03-08,CUST-0790,Customer_790,Corporate,Central,Furniture,Ergonomic Chairs,Furniture - Ergonomic Chairs,272.14,1,0.0,272.14,16.07,Second Class
ORD-20240165,2025-08-23,CUST-0277,Customer_277,Consumer,South,Furniture,Standing Desks,Furniture - Standing Desks,751.35,1,0.0,751.35,48.57,Standard Class
ORD-20240166,2024-05-07,CUST-0099,Customer_99,Home Office,East,Office Supplies,Desk Organization,Office Supplies - Desk Organization,136.82,1,0.05,129.98,22.82,First Class
