shipment_id,order_date,supplier_id,supplier_name,supplier_tier,warehouse_id,origin_warehouse,carrier_name,weight_kg,shipping_cost_usd,scheduled_delivery_date,actual_delivery_date,delivery_delay_days,delivery_status,on_time_flag,damage_flag
SHP-20240046,2025-06-30,SUP-08,Indus Logistics Fab,Tier 3,WH-BLR-03,South Central (Bengaluru),Regional Truckload,290.62,229.76,2025-07-03,2025-07-08,5,Delayed,0,0
SHP-20240047,2025-05-08,SUP-04,Evergreen Raw Materials,Tier 2,WH-DEL-01,North Hub (Delhi-NCR),Priority Surface Cargo,635.74,728.68,2025-05-10,2025-05-11,1,Delayed,0,0
SHP-20240048,2024-11-21,SUP-01,Apex Precision Components,Tier 1,WH-MUM-02,West Port (Mumbai),Express Air Freight,545.07,1098.49,2024-11-24,2024-11-24,0,On-Time,1,0
SHP-20240049,2024-02-26,SUP-05,Falcon Fasteners Corp,Tier 2,WH-MUM-02,West Port (Mumbai),Regional Truckload,233.15,208.67,2024-03-03,2024-03-03,0,On-Time,1,0
SHP-20240050,2024-04-02,SUP-07,Hind Cargo Aggregates,Tier 3,WH-DEL-01,North Hub (Delhi-NCR),Priority Surface Cargo,293.46,404.31,2024-04-06,2024-04-06,0,On-Time,1,0
SHP-20240051,2024-05-08,SUP-03,Delta Electronics Hub,Tier 1,WH-DEL-01,North Hub (Delhi-NCR),Regional Truckload,448.93,372.55,2024-05-11,2024-05-11,0,On-Time,1,0
SHP-20240052,2024-11-17,SUP-05,Falcon Fasteners Corp,Tier 2,WH-MUM-02,West Port (Mumbai),Express Air Freight,201.87,401.2,2024-11-22,2024-11-22,0,On-Time,1,0
SHP-20240053,2025-07-23,SUP-07,Hind Cargo Aggregates,Tier 3,WH-DEL-01,North Hub (Delhi-NCR),Standard Rail Transport,616.46,468.04,2025-07-27,2025-07-27,0,On-Time,1,0
SHP-20240054,2024-11-14,SUP-05,Falcon Fasteners Corp,Tier 2,WH-DEL-01,North Hub (Delhi-NCR),Priority Surface Cargo,714.57,874.23,2024-11-16,2024-11-16,0,On-Time,1,0
SHP-20240055,2024-09-20,SUP-02,Bharat Heavy Forgings,Tier 1,WH-MUM-02,West Port (Mumbai),Priority Surface Cargo,366.76,441.11,2024-09-25,2024-09-26,1,Delayed,0,0
SHP-20240056,2025-06-16,SUP-06,Global Polymer Solutions,Tier 2,WH-KOL-04,East Gateway (Kolkata),Standard Rail Transport,240.33,204.49,2025-06-22,2025-07-04,12,Delayed,0,0
SHP-20240057,2024-05-30,SUP-01,Apex Precision Components,Tier 1,WH-MUM-02,West Port (Mumbai),Standard Rail Transport,123.18,154.73,2024-06-04,2024-06-05,1,Delayed,0,0
SHP-20240058,2025-12-02,SUP-03,Delta Electronics Hub,Tier 1,WH-DEL-01,North Hub (Delhi-NCR),Express Air Freight,567.36,1094.63,2025-12-07,2025-12-07,0,On-Time,1,0
SHP-20240059,2024-12-10,SUP-02,Bharat Heavy Forgings,Tier 1,WH-BLR-03,South Central (Bengaluru),Express Air Freight,599.37,1184.55,2024-12-15,2024-12-18,3,Delayed,0,0
SHP-20240060,2025-03-04,SUP-08,Indus Logistics Fab,Tier 3,WH-BLR-03,South Central (Bengaluru),Standard Rail Transport,684.85,479.45,2025-03-10,2025-03-15,5,Delayed,0,0
SHP-20240061,2024-01-20,SUP-02,Bharat Heavy Forgings,Tier 1,WH-DEL-01,North Hub (Delhi-NCR),Regional Truckload,455.64,332.85,2024-01-22,2024-01-23,1,Delayed,0,0
SHP-20240062,2025-08-16,SUP-08,Indus Logistics Fab,Tier 3,WH-BLR-03,South Central (Bengaluru),Regional Truckload,537.48,378.12,2025-08-22,2025-08-23,1,Delayed,0,0
SHP-20240063,2024-03-16,SUP-06,Global Polymer Solutions,Tier 2,WH-KOL-04,East Gateway (Kolkata),Priority Surface Cargo,813.97,962.52,2024-03-18,2024-03-24,6,Delayed,0,0
SHP-20240064,2025-10-18,SUP-03,Delta Electronics Hub,Tier 1,WH-KOL-04,East Gateway (Kolkata),Regional Truckload,160.69,170.27,2025-10-21,2025-10-27,6,Delayed,0,0
SHP-20240065,2025-05-21,SUP-03,Delta Electronics Hub,Tier 1,WH-MUM-02,West Port (Mumbai),Express Air Freight,539.99,1029.46,2025-05-25,2025-05-25,0,On-Time,1,0
SHP-20240066,2024-06-25,SUP-02,Bharat Heavy Forgings,Tier 1,WH-DEL-01,North Hub (Delhi-NCR),Express Air Freight,566.54,1138.47,2024-06-30,2024-07-02,2,Delayed,0,0
SHP-20240067,2024-03-08,SUP-05,Falcon Fasteners Corp,Tier 2,WH-BLR-03,South Central (Bengaluru),Regional Truckload,237.96,222.49,2024-03-11,2024-03-13,2,Delayed,0,1
SHP-20240068,2024-04-20,SUP-03,Delta Electronics Hub,Tier 1,WH-DEL-01,North Hub (Delhi-NCR),Standard Rail Transport,382.62,337.24,2024-04-26,2024-04-26,0,On-Time,1,0
SHP-20240069,2024-12-16,SUP-05,Falcon Fasteners Corp,Tier 2,WH-KOL-04,East Gateway (Kolkata),Priority Surface Cargo,820.12,940.38,2024-12-22,2024-12-27,5,Delayed,0,0
SHP-20240070,2024-11-27,SUP-04,Evergreen Raw Materials,Tier 2,WH-DEL-01,North Hub (Delhi-NCR),Priority Surface Cargo,447.82,540.66,2024-12-03,2024-12-06,3,Delayed,0,0
SHP-20240071,2024-07-07,SUP-06,Global Polymer Solutions,Tier 2,WH-MUM-02,West Port (Mumbai),Priority Surface Cargo,709.96,811.66,2024-07-12,2024-07-17,5,Delayed,0,0
SHP-20240072,2025-10-29,SUP-05,Falcon Fasteners Corp,Tier 2,WH-MUM-02,West Port (Mumbai),Express Air Freight,627.36,1241.36,2025-11-02,2025-11-02,0,On-Time,1,0
SHP-20240073,2025-06-04,SUP-03,Delta Electronics Hub,Tier 1,WH-BLR-03,South Central (Bengaluru),Regional Truckload,444.3,317.01,2025-06-06,2025-06-06,0,On-Time,1,0
SHP-20240074,2024-03-16,SUP-08,Indus Logistics Fab,Tier 3,WH-KOL-04,East Gateway (Kolkata),Priority Surface Cargo,433.33,512.39,2024-03-22,2024-03-22,0,On-Time,1,0
SHP-20240075,2024-05-13,SUP-01,Apex Precision Components,Tier 1,WH-BLR-03,South Central (Bengaluru),Standard Rail Transport,101.14,93.6,2024-05-16,2024-05-16,0,On-Time,1,0
SHP-20240076,2024-09-06,SUP-05,Falcon Fasteners Corp,Tier 2,WH-BLR-03,South Central (Bengaluru),Priority Surface Cargo,50.05,140.86,2024-09-11,2024-09-12,1,Delayed,0,0
SHP-20240077,2024-10-26,SUP-03,Delta Electronics Hub,Tier 1,WH-DEL-01,North Hub (Delhi-NCR),Priority Surface Cargo,456.88,546.63,2024-10-31,2024-10-31,0,On-Time,1,0
SHP-20240078,2024-04-28,SUP-04,Evergreen Raw Materials,Tier 2,WH-DEL-01,North Hub (Delhi-NCR),Express Air Freight,54.07,130.51,2024-05-01,2024-05-02,1,Delayed,0,0
SHP-20240079,2024-04-21,SUP-08,Indus Logistics Fab,Tier 3,WH-MUM-02,West Port (Mumbai),Regional Truckload,399.2,292.18,2024-04-27,2024-04-27,0,On-Time,1,0
SHP-20240080,2025-06-30,SUP-04,Evergreen Raw Materials,Tier 2,WH-KOL-04,East Gateway (Kolkata),Priority Surface Cargo,617.62,730.35,2025-07-03,2025-07-06,3,Delayed,0,0
SHP-20240081,2025-10-26,SUP-04,Evergreen Raw Materials,Tier 2,WH-DEL-01,North Hub (Delhi-NCR),Priority Surface Cargo,379.88,445.49,2025-10-31,2025-10-31,0,On-Time,1,0
SHP-20240082,2025-02-09,SUP-02,Bharat Heavy Forgings,Tier 1,WH-BLR-03,South Central (Bengaluru),Express Air Freight,354.43,684.87,2025-02-13,2025-02-14,1,Delayed,0,0
SHP-20240083,2024-11-12,SUP-04,Evergreen Raw Materials,Tier 2,WH-DEL-01,North Hub (Delhi-NCR),Priority Surface Cargo,620.23,751.19,2024-11-17,2024-11-18,1,Delayed,0,0
SHP-20240084,2025-08-14,SUP-06,Global Polymer Solutions,Tier 2,WH-MUM-02,West Port (Mumbai),Express Air Freight,409.72,797.68,2025-08-18,2025-08-18,0,On-Time,1,0
SHP-20240085,2024-08-25,SUP-02,Bharat Heavy Forgings,Tier 1,WH-KOL-04,East Gateway (Kolkata),Priority Surface Cargo,60.26,122.98,2024-08-28,2024-09-01,4,Delayed,0,1
SHP-20240086,2024-05-03,SUP-07,Hind Cargo Aggregates,Tier 3,WH-DEL-01,North Hub (Delhi-NCR),Regional Truckload,712.76,508.72,2024-05-07,2024-05-11,4,Delayed,0,0
SHP-20240087,2025-12-20,SUP-08,Indus Logistics Fab,Tier 3,WH-MUM-02,West Port (Mumbai),Priority Surface Cargo,643.13,749.62,23/12/2025,2025-12-28,5,Delayed,0,0
SHP-20240088,2025-03-24,SUP-02,Bharat Heavy Forgings,Tier 1,WH-KOL-04,East Gateway (Kolkata),Regional Truckload,675.02,516.09,2025-03-26,2025-03-27,1,Delayed,0,0
SHP-20240089,2024-08-22,SUP-07,Hind Cargo Aggregates,Tier 3,WH-MUM-02,West Port (Mumbai),Priority Surface Cargo,65.37,97.69,2024-08-24,2024-08-24,0,On-Time,1,0
SHP-20240090,2024-04-21,SUP-08,Indus Logistics Fab,Tier 3,WH-BLR-03,South Central (Bengaluru),Standard Rail Transport,785.34,549.58,2024-04-23,2024-04-25,2,Delayed,0,0
SHP-20240091,2024-09-07,SUP-06,Global Polymer Solutions,Tier 2,WH-MUM-02,West Port (Mumbai),Priority Surface Cargo,458.67,538.7,2024-09-10,2024-09-10,0,On-Time,1,0
SHP-20240092,2025-03-12,SUP-01,Apex Precision Components,Tier 1,WH-BLR-03,South Central (Bengaluru),Express Air Freight,445.28,902.44,2025-03-17,2025-03-19,2,Delayed,0,0
SHP-20240093,2025-03-06,SUP-07,Hind Cargo Aggregates,Tier 3,WH-KOL-04,East Gateway (Kolkata),Regional Truckload,234.19,177.29,2025-03-11,2025-03-12,1,Delayed,0,0
SHP-20240094,2024-01-08,SUP-02,Bharat Heavy Forgings,Tier 1,WH-MUM-02,West Port (Mumbai),Express Air Freight,119.45,258.59,2024-01-10,2024-01-10,0,On-Time,1,0
SHP-20240095,2024-09-14,SUP-01,Apex Precision Components,Tier 1,WH-BLR-03,South Central (Bengaluru),Standard Rail Transport,825.65,562.25,2024-09-17,2024-09-18,1,Delayed,0,0
SHP-20240096,2025-04-12,SUP-04,Evergreen Raw Materials,Tier 2,WH-MUM-02,West Port (Mumbai),Express Air Freight,187.51,372.31,2025-04-14,2025-04-14,0,On-Time,1,0
SHP-20240097,2024-09-25,SUP-08,Indus Logistics Fab,Tier 3,WH-DEL-01,North Hub (Delhi-NCR),Express Air Freight,615.3,1167.12,2024-09-30,2024-09-30,0,on-time  ,1,0
SHP-20240098,2024-10-09,SUP-06,Global Polymer Solutions,Tier 2,WH-BLR-03,South Central (Bengaluru),Priority Surface Cargo,313.63,385.67,2024-10-12,2024-10-13,1,Delayed,0,0
SHP-20240099,2024-05-30,SUP-02,Bharat Heavy Forgings,Tier 1,WH-BLR-03,South Central (Bengaluru),Standard Rail Transport,630.96,496.86,2024-06-05,2024-06-08,3,Delayed,0,0
SHP-20240100,2025-05-01,SUP-06,Global Polymer Solutions,Tier 2,WH-MUM-02,West Port (Mumbai),Regional Truckload,270.43,232.33,2025-05-05,2025-05-05,0,On-Time,1,0
SHP-20240101,2024-12-04,SUP-08,Indus Logistics Fab,Tier 3,WH-BLR-03,South Central (Bengaluru),Priority Surface Cargo,348.41,443.35,2024-12-06,2024-12-06,0,On-Time,1,0
SHP-20240102,2025-11-17,SUP-08,Indus Logistics Fab,Tier 3,WH-KOL-04,East Gateway (Kolkata),Priority Surface Cargo,637.97,782.89,2025-11-21,2025-11-26,5,Delayed,0,0
SHP-20240103,2025-11-28,SUP-05,Falcon Fasteners Corp,Tier 2,WH-BLR-03,South Central (Bengaluru),Express Air Freight,844.37,1597.02,2025-12-04,2025-12-06,2,Delayed,0,0
SHP-20240104,2025-03-20,SUP-06,Global Polymer Solutions,Tier 2,WH-DEL-01,North Hub (Delhi-NCR),Regional Truckload,-674.19,476.94,2025-03-22,2025-03-22,0,On-Time,1,0
SHP-20240105,2024-12-26,SUP-03,Delta Electronics Hub,Tier 1,WH-BLR-03,South Central (Bengaluru),Standard Rail Transport,265.68,221.67,2025-01-01,2025-01-07,6,Delayed,0,0
SHP-20240106,2025-08-02,SUP-01,Apex Precision Components,Tier 1,WH-KOL-04,East Gateway (Kolkata),Regional Truckload,649.94,466.54,2025-08-06,2025-08-11,5,Delayed,0,0
SHP-20240107,2025-05-20,SUP-06,Global Polymer Solutions,Tier 2,WH-BLR-03,South Central (Bengaluru),Priority Surface Cargo,414.47,502.1,2025-05-22,2025-05-22,0,On-Time,1,0
SHP-20240108,2025-11-11,SUP-08,Indus Logistics Fab,Tier 3,WH-KOL-04,East Gateway (Kolkata),Standard Rail Transport,195.63,158.42,2025-11-16,2025-11-16,0,On-Time,1,0
SHP-20240109,2025-12-14,SUP-08,Indus Logistics Fab,Tier 3,WH-KOL-04,East Gateway (Kolkata),Express Air Freight,156.62,351.32,2025-12-17,2025-12-18,1,Delayed,0,0
SHP-20240110,2024-07-05,SUP-08,Indus Logistics Fab,Tier 3,WH-DEL-01,North Hub (Delhi-NCR),Regional Truckload,277.05,274.38,2024-07-08,2024-07-12,4,Delayed,0,0
SHP-20240111,2024-02-14,SUP-07,Hind Cargo Aggregates,Tier 3,WH-BLR-03,South Central (Bengaluru),Regional Truckload,77.3,133.44,2024-02-18,2024-02-18,0,On-Time,1,0
SHP-20240112,2024-09-05,SUP-05,Falcon Fasteners Corp,Tier 2,WH-DEL-01,North Hub (Delhi-NCR),Regional Truckload,118.94,128.33,2024-09-11,2024-09-11,0,On-Time,1,0
SHP-20240113,2024-11-29,SUP-05,Falcon Fasteners Corp,Tier 2,WH-DEL-01,North Hub (Delhi-NCR),Express Air Freight,113.3,265.36,2024-12-02,2024-12-04,2,Delayed,0,0
SHP-20240114,2024-02-02,SUP-01,Apex Precision Components,Tier 1,WH-KOL-04,East Gateway (Kolkata),Standard Rail Transport,249.34,230.8,2024-02-06,2024-02-10,4,Delayed,0,0
SHP-20240115,2025-02-11,SUP-07,Hind Cargo Aggregates,Tier 3,WH-MUM-02,West Port (Mumbai),Express Air Freight,56.51,189.37,2025-02-14,2025-02-15,1,Delayed,0,0
SHP-20240116,2024-04-14,SUP-06,Global Polymer Solutions,Tier 2,WH-DEL-01,North Hub (Delhi-NCR),Priority Surface Cargo,562.99,698.64,2024-04-19,2024-04-20,1,Delayed,0,0
SHP-20240117,2024-06-17,SUP-03,Delta Electronics Hub,Tier 1,WH-BLR-03,South Central (Bengaluru),Express Air Freight,47.38,163.21,2024-06-23,2024-06-23,0,On-Time,1,0
SHP-20240118,2025-01-20,SUP-01,Apex Precision Components,Tier 1,WH-KOL-04,East Gateway (Kolkata),Regional Truckload,663.74,483.75,2025-01-26,2025-01-28,2,Delayed,0,0
SHP-20240119,2024-02-11,SUP-02,Bharat Heavy Forgings,Tier 1,WH-MUM-02,West Port (Mumbai),Standard Rail Transport,226.06,236.7,2024-02-17,2024-02-17,0,On-Time,1,0
SHP-20240120,2025-11-08,SUP-01,Apex Precision Components,Tier 1,WH-MUM-02,West Port (Mumbai),Express Air Freight,134.88,330.51,2025-11-14,2025-11-14,0,On-Time,1,0
SHP-20240121,2024-09-20,SUP-02,Bharat Heavy Forgings,Tier 1,WH-DEL-01,North Hub (Delhi-NCR),Priority Surface Cargo,780.59,940.16,2024-09-25,2024-09-28,3,Delayed,0,0
SHP-20240122,2024-01-26,SUP-01,Apex Precision Components,Tier 1,WH-BLR-03,South Central (Bengaluru),Regional Truckload,787.87,566.96,2024-02-01,2024-02-02,1,Delayed,0,0
SHP-20240123,2024-04-27,SUP-06,Global Polymer Solutions,Tier 2,WH-KOL-04,East Gateway (Kolkata),Express Air Freight,810.12,1573.59,2024-05-02,2024-05-03,1,Delayed,0,0
SHP-20240124,2025-03-31,SUP-06,Global Polymer Solutions,Tier 2,WH-DEL-01,North Hub (Delhi-NCR),Standard Rail Transport,280.69,235.08,2025-04-04,2025-04-05,1,Delayed,0,0
SHP-20240125,2024-10-25,SUP-06,Global Polymer Solutions,Tier 2,WH-MUM-02,West Port (Mumbai),Standard Rail Transport,664.56,464.73,2024-10-30,2024-10-30,0,On-Time,1,0
SHP-20240126,2024-07-28,SUP-06,Global Polymer Solutions,Tier 2,WH-DEL-01,North Hub (Delhi-NCR),Regional Truckload,776.04,551.12,2024-07-30,2024-07-30,0,On-Time,1,0
SHP-20240127,2024-09-14,SUP-02,Bharat Heavy Forgings,Tier 1,WH-DEL-01,North Hub (Delhi-NCR),Standard Rail Transport,43.19,84.63,2024-09-18,2024-09-18,0,On-Time,1,0
SHP-20240128,2025-02-18,SUP-08,Indus Logistics Fab,Tier 3,WH-DEL-01,North Hub (Delhi-NCR),Priority Surface Cargo,65.37,131.1,2025-02-21,2025-02-21,0,On-Time,1,0
SHP-20240129,2024-01-27,SUP-04,Evergreen Raw Materials,Tier 2,WH-BLR-03,South Central (Bengaluru),Priority Surface Cargo,624.96,721.41,2024-02-02,2024-02-02,0,On-Time,1,0
SHP-20240130,2024-04-13,SUP-07,Hind Cargo Aggregates,Tier 3,WH-DEL-01,North Hub (Delhi-NCR),Priority Surface Cargo,839.54,1005.07,2024-04-16,2024-04-17,1,Delayed,0,1
SHP-20240131,2024-11-25,SUP-05,Falcon Fasteners Corp,Tier 2,WH-BLR-03,South Central (Bengaluru),Regional Truckload,99.59,145.06,2024-11-28,2024-12-03,5,Delayed,0,0
SHP-20240132,2025-04-29,SUP-02,Bharat Heavy Forgings,Tier 1,WH-MUM-02,West Port (Mumbai),Priority Surface Cargo,813.24,964.04,2025-05-01,2025-05-01,0,On-Time,1,0
SHP-20240133,2024-03-11,SUP-08,Indus Logistics Fab,Tier 3,WH-BLR-03,South Central (Bengaluru),Regional Truckload,211.53,172.39,2024-03-15,2024-03-15,0,On-Time,1,1
SHP-20240134,2024-08-12,SUP-03,Delta Electronics Hub,Tier 1,WH-KOL-04,East Gateway (Kolkata),Express Air Freight,76.37,181.07,2024-08-16,2024-08-19,3,Delayed,0,0
SHP-20240135,2024-08-30,SUP-08,Indus Logistics Fab,Tier 3,WH-MUM-02,West Port (Mumbai),Express Air Freight,564.6,1138.9,2024-09-02,2024-09-07,5,Delayed,0,0
