customer_id,customer_name,segment,region,recency_days,frequency,monetary_value,r_score,f_score,m_score,rfm_segment
CUST-0088,Customer_88,Consumer,West,1,8,2811.4,5,1,1,Promising New
CUST-0532,Customer_532,Corporate,East,37,10,2829.14,3,2,1,Hibernating / Lost
CUST-0099,Customer_99,Home Office,East,302,10,2843.41,1,2,1,Hibernating / Lost
CUST-0768,Customer_768,Corporate,West,95,9,2883.71,1,1,1,Hibernating / Lost
CUST-0490,Customer_490,Consumer,South,56,7,2908.27,2,1,1,Hibernating / Lost
CUST-0216,Customer_216,Corporate,South,383,4,2973.51,1,1,1,Hibernating / Lost
CUST-0423,Customer_423,Corporate,South,37,9,3076.54,3,1,1,Hibernating / Lost
CUST-0370,Customer_370,Consumer,East,211,8,3085.11,1,1,1,Hibernating / Lost
CUST-0036,Customer_36,Consumer,North,14,11,3086.96,4,2,1,Promising New
CUST-0847,Customer_847,Home Office,South,8,7,3092.04,5,1,1,Promising New
CUST-0419,Customer_419,Consumer,South,43,8,3123.72,3,1,1,Hibernating / Lost
CUST-0468,Customer_468,Consumer,West,222,5,3167.48,1,1,1,Hibernating / Lost
CUST-0019,Customer_19,Corporate,South,45,7,3168.42,3,1,1,Hibernating / Lost
CUST-0795,Customer_795,Consumer,South,40,8,3183.66,3,1,1,Hibernating / Lost
CUST-0606,Customer_606,Consumer,Central,86,12,3271.86,2,3,1,At-Risk Customers
CUST-0060,Customer_60,Consumer,North,45,9,3327.73,3,1,1,Hibernating / Lost
CUST-0790,Customer_790,Corporate,Central,71,9,3427.49,2,1,1,Hibernating / Lost
CUST-0014,Customer_14,Corporate,East,10,9,3432.28,5,1,1,Promising New
CUST-0590,Customer_590,Corporate,North,15,10,3449.86,4,2,1,Promising New
CUST-0475,Customer_475,Consumer,West,37,11,3519.19,3,2,1,Hibernating / Lost
CUST-0261,Customer_261,Home Office,Central,14,8,3520.77,4,1,1,Promising New
CUST-0663,Customer_663,Corporate,South,34,11,3585.86,3,2,1,Hibernating / Lost
CUST-0134,Customer_134,Home Office,Central,228,8,3600.03,1,1,1,Hibernating / Lost
CUST-0111,Customer_111,Home Office,West,2,10,3615.89,5,1,1,Promising New
CUST-0305,Customer_305,Corporate,North,6,7,3633.15,5,1,1,Promising New
CUST-0035,Customer_35,Corporate,West,324,11,3645.88,1,3,1,At-Risk Customers
CUST-0092,Customer_92,Corporate,Central,22,8,3647.95,4,1,1,Promising New
CUST-0461,Customer_461,Consumer,West,89,8,3655.69,2,1,1,Hibernating / Lost
CUST-0826,Customer_826,Corporate,Central,20,11,3683.28,4,2,1,Promising New
CUST-0554,Customer_554,Corporate,Central,178,7,3731.32,1,1,1,Hibernating / Lost
CUST-0218,Customer_218,Consumer,West,80,9,3794.63,2,1,1,Hibernating / Lost
CUST-0587,Customer_587,Consumer,West,209,11,3867.31,1,3,1,At-Risk Customers
CUST-0256,Customer_256,Home Office,West,26,12,3869.04,4,3,1,Hibernating / Lost
CUST-0765,Customer_765,Consumer,North,26,10,3880.86,4,2,1,Promising New
CUST-0406,Customer_406,Corporate,South,8,8,3892.49,5,1,1,Promising New
CUST-0690,Customer_690,Corporate,South,54,15,3897.19,2,5,1,At-Risk Customers
CUST-0438,Customer_438,Corporate,North,108,10,3907.4,1,2,1,Hibernating / Lost
CUST-0625,Customer_625,Consumer,South,81,10,3914.96,2,2,1,Hibernating / Lost
CUST-0108,Customer_108,Consumer,West,78,9,3920.01,2,1,1,Hibernating / Lost
CUST-0306,Customer_306,Corporate,North,226,9,3928.5,1,1,1,Hibernating / Lost
CUST-0789,Customer_789,Consumer,Central,58,8,3984.7,2,1,1,Hibernating / Lost
CUST-0211,Customer_211,Consumer,West,5,10,3992.19,5,2,1,Promising New
CUST-0574,Customer_574,Consumer,North,154,8,4111.8,1,1,1,Hibernating / Lost
CUST-0445,Customer_445,Consumer,West,166,10,4118.27,1,2,1,Hibernating / Lost
CUST-0185,Customer_185,Home Office,Central,119,8,4208.95,1,1,1,Hibernating / Lost
CUST-0031,Customer_31,Consumer,South,33,7,4209.27,3,1,1,Hibernating / Lost
CUST-0048,Customer_48,Home Office,South,123,12,4243.08,1,3,1,At-Risk Customers
CUST-0284,Customer_284,Corporate,North,167,9,4256.54,1,1,1,Hibernating / Lost
CUST-0797,Customer_797,Consumer,North,379,6,4421.22,1,1,1,Hibernating / Lost
CUST-0365,Customer_365,Consumer,North,3,12,4425.6,5,3,1,Hibernating / Lost
CUST-0828,Customer_828,Consumer,South,106,7,4435.66,1,1,1,Hibernating / Lost
CUST-0086,Customer_86,Corporate,South,29,12,4462.17,4,3,1,Hibernating / Lost
CUST-0764,Customer_764,Consumer,North,276,9,4484.74,1,1,1,Hibernating / Lost
CUST-0394,Customer_394,Consumer,East,221,7,4551.34,1,1,1,Hibernating / Lost
CUST-0147,Customer_147,Consumer,Central,31,8,4573.06,3,1,1,Hibernating / Lost
CUST-0282,Customer_282,Consumer,West,6,10,4616.01,5,2,1,Promising New
CUST-0665,Customer_665,Consumer,East,4,10,4676.12,5,2,1,Promising New
CUST-0603,Customer_603,Consumer,North,210,8,4677.3,1,1,1,Hibernating / Lost
CUST-0441,Customer_441,Corporate,West,1,12,4691.19,5,3,1,Hibernating / Lost
CUST-0542,Customer_542,Corporate,West,10,11,4721.95,5,2,1,Promising New
CUST-0155,Customer_155,Corporate,West,109,11,4805.53,1,3,1,At-Risk Customers
CUST-0807,Customer_807,Corporate,West,23,13,4824.53,4,3,1,Hibernating / Lost
CUST-0351,Customer_351,Home Office,East,5,10,4840.81,5,2,1,Promising New
CUST-0240,Customer_240,Consumer,West,27,11,4851.2,4,2,1,Promising New
CUST-0489,Customer_489,Consumer,East,125,6,4879.79,1,1,1,Hibernating / Lost
CUST-0202,Customer_202,Consumer,South,39,9,4888.02,3,1,1,Hibernating / Lost
CUST-0043,Customer_43,Consumer,North,92,8,4902.51,2,1,1,Hibernating / Lost
CUST-0652,Customer_652,Consumer,South,21,10,4929.77,4,2,1,Promising New
CUST-0395,Customer_395,Consumer,South,28,12,4954.03,4,3,1,Hibernating / Lost
CUST-0570,Customer_570,Corporate,East,7,16,4956.82,5,5,1,Champions (High Value)
CUST-0563,Customer_563,Consumer,Central,33,10,4965.22,3,2,1,Hibernating / Lost
CUST-0602,Customer_602,Consumer,North,6,10,5016.72,5,2,1,Promising New
CUST-0682,Customer_682,Consumer,Central,66,12,5024.52,2,3,1,At-Risk Customers
CUST-0003,Customer_3,Consumer,East,10,11,5033.15,5,2,1,Promising New
CUST-0153,Customer_153,Corporate,West,73,12,5038.26,2,3,1,At-Risk Customers
CUST-0349,Customer_349,Corporate,West,13,8,5124.2,4,1,1,Promising New
CUST-0113,Customer_113,Consumer,South,178,6,5126.81,1,1,1,Hibernating / Lost
CUST-0160,Customer_160,Corporate,East,241,5,5131.46,1,1,1,Hibernating / Lost
CUST-0820,Customer_820,Consumer,West,22,11,5135.88,4,2,1,Promising New
CUST-0472,Customer_472,Corporate,North,36,8,5163.86,3,1,1,Hibernating / Lost
CUST-0018,Customer_18,Consumer,South,136,10,5178.25,1,2,1,Hibernating / Lost
CUST-0369,Customer_369,Consumer,South,117,9,5183.45,1,1,1,Hibernating / Lost
CUST-0295,Customer_295,Corporate,East,45,11,5190.73,3,2,1,Hibernating / Lost
CUST-0075,Customer_75,Corporate,South,6,11,5190.74,5,2,1,Promising New
CUST-0829,Customer_829,Consumer,North,337,7,5205.08,1,1,1,Hibernating / Lost
CUST-0007,Customer_7,Consumer,North,24,10,5228.98,4,2,1,Promising New
CUST-0172,Customer_172,Corporate,North,264,10,5241.37,1,2,1,Hibernating / Lost
CUST-0327,Customer_327,Corporate,Central,36,6,5250.83,3,1,1,Hibernating / Lost
CUST-0681,Customer_681,Consumer,North,267,9,5270.61,1,1,1,Hibernating / Lost
CUST-0769,Customer_769,Home Office,North,271,9,5283.94,1,1,1,Hibernating / Lost
CUST-0496,Customer_496,Corporate,North,25,11,5295.78,4,2,1,Promising New
CUST-0285,Customer_285,Consumer,North,12,11,5304.79,5,2,1,Promising New
CUST-0197,Customer_197,Home Office,East,1,11,5308.79,5,2,1,Promising New
CUST-0232,Customer_232,Consumer,Central,32,7,5310.8,3,1,1,Hibernating / Lost
CUST-0786,Customer_786,Corporate,West,121,6,5334.37,1,1,1,Hibernating / Lost
CUST-0674,Customer_674,Home Office,East,50,12,5341.91,3,3,1,Hibernating / Lost
CUST-0225,Customer_225,Consumer,South,78,11,5358.64,2,2,1,Hibernating / Lost
CUST-0028,Customer_28,Consumer,West,12,8,5374.44,5,1,1,Promising New
CUST-0488,Customer_488,Home Office,North,28,7,5399.85,4,1,1,Promising New
CUST-0429,Customer_429,Corporate,South,9,13,5403.18,5,3,1,Hibernating / Lost
CUST-0057,Customer_57,Consumer,East,1,8,5411.86,5,1,1,Promising New
CUST-0794,Customer_794,Consumer,South,77,10,5415.01,2,2,1,Hibernating / Lost
CUST-0576,Customer_576,Consumer,North,25,10,5415.09,4,2,1,Promising New
CUST-0757,Customer_757,Consumer,West,194,8,5416.33,1,1,1,Hibernating / Lost
CUST-0402,Customer_402,Corporate,North,128,11,5446.36,1,3,1,At-Risk Customers
CUST-0462,Customer_462,Consumer,South,65,11,5450.98,2,2,1,Hibernating / Lost
CUST-0296,Customer_296,Consumer,South,109,12,5457.88,1,3,1,At-Risk Customers
CUST-0260,Customer_260,Corporate,West,30,13,5458.73,3,3,1,Hibernating / Lost
CUST-0146,Customer_146,Corporate,East,35,9,5460.8,3,1,1,Hibernating / Lost
CUST-0440,Customer_440,Home Office,West,55,6,5469.62,2,1,1,Hibernating / Lost
CUST-0297,Customer_297,Consumer,West,32,10,5485.68,3,2,1,Hibernating / Lost
CUST-0401,Customer_401,Corporate,Central,95,13,5507.72,1,4,1,At-Risk Customers
CUST-0673,Customer_673,Consumer,East,41,11,5512.95,3,2,1,Hibernating / Lost
CUST-0380,Customer_380,Home Office,South,113,12,5529.04,1,3,1,At-Risk Customers
CUST-0083,Customer_83,Corporate,Central,131,6,5560.21,1,1,1,Hibernating / Lost
CUST-0091,Customer_91,Corporate,East,128,6,5570.32,1,1,1,Hibernating / Lost
CUST-0783,Customer_783,Corporate,South,80,12,5573.06,2,3,1,At-Risk Customers
CUST-0098,Customer_98,Consumer,Central,60,10,5578.65,2,2,1,Hibernating / Lost
CUST-0042,Customer_42,Corporate,East,27,10,5588.58,4,2,1,Promising New
CUST-0724,Customer_724,Home Office,East,47,10,5598.39,3,2,1,Hibernating / Lost
CUST-0627,Customer_627,Consumer,South,87,9,5643.13,2,1,1,Hibernating / Lost
CUST-0159,Customer_159,Home Office,North,141,13,5669.75,1,4,1,At-Risk Customers
CUST-0187,Customer_187,Corporate,North,7,14,5670.62,5,4,1,Champions (High Value)
CUST-0736,Customer_736,Consumer,West,12,13,5680.87,5,3,1,Hibernating / Lost
CUST-0053,Customer_53,Corporate,North,153,10,5687.41,1,2,1,Hibernating / Lost
CUST-0164,Customer_164,Corporate,West,232,9,5690.05,1,1,1,Hibernating / Lost
CUST-0204,Customer_204,Home Office,West,40,11,5692.83,3,2,1,Hibernating / Lost
CUST-0016,Customer_16,Consumer,South,150,10,5693.37,1,2,1,Hibernating / Lost
CUST-0122,Customer_122,Consumer,East,74,9,5698.37,2,1,1,Hibernating / Lost
CUST-0119,Customer_119,Consumer,West,67,11,5705.12,2,2,1,Hibernating / Lost
CUST-0398,Customer_398,Corporate,Central,83,8,5707.98,2,1,1,Hibernating / Lost
CUST-0341,Customer_341,Consumer,Central,19,8,5722.16,4,1,1,Promising New
CUST-0750,Customer_750,Corporate,South,12,11,5730.55,5,2,1,Promising New
CUST-0516,Customer_516,Consumer,North,58,12,5749.71,2,3,1,At-Risk Customers
CUST-0276,Customer_276,Corporate,East,230,7,5759.13,1,1,1,Hibernating / Lost
CUST-0027,Customer_27,Consumer,West,45,13,5792.74,3,4,1,Hibernating / Lost
CUST-0575,Customer_575,Home Office,North,131,10,5844.39,1,2,1,Hibernating / Lost
CUST-0200,Customer_200,Home Office,West,29,10,5874.45,4,2,1,Promising New
CUST-0592,Customer_592,Consumer,South,5,10,5895.75,5,2,1,Promising New
CUST-0171,Customer_171,Consumer,South,53,5,5927.96,2,1,1,Hibernating / Lost
CUST-0410,Customer_410,Consumer,West,113,8,5958.52,1,1,1,Hibernating / Lost
CUST-0695,Customer_695,Home Office,West,129,9,5969.03,1,1,1,Hibernating / Lost
CUST-0178,Customer_178,Corporate,Central,109,11,5970.87,1,3,1,At-Risk Customers
CUST-0754,Customer_754,Corporate,South,30,12,5973.19,3,3,1,Hibernating / Lost
CUST-0561,Customer_561,Consumer,West,0,4,5981.82,5,1,1,Promising New
CUST-0702,Customer_702,Corporate,North,1,12,5984.59,5,3,1,Hibernating / Lost
CUST-0321,Customer_321,Home Office,South,12,15,5984.7,5,4,2,Champions (High Value)
CUST-0196,Customer_196,Corporate,South,86,8,5985.78,2,1,2,Hibernating / Lost
CUST-0512,Customer_512,Consumer,West,46,9,5997.28,3,1,2,Hibernating / Lost
CUST-0257,Customer_257,Consumer,Central,49,16,6007.92,3,5,2,Hibernating / Lost
CUST-0731,Customer_731,Consumer,West,9,10,6009.19,5,2,2,Promising New
CUST-0708,Customer_708,Consumer,North,158,10,6017.94,1,2,2,Hibernating / Lost
CUST-0412,Customer_412,Home Office,East,117,14,6026.86,1,4,2,At-Risk Customers
CUST-0700,Customer_700,Corporate,West,65,8,6028.03,2,1,2,Hibernating / Lost
CUST-0676,Customer_676,Consumer,West,70,10,6055.67,2,2,2,Hibernating / Lost
CUST-0074,Customer_74,Corporate,Central,43,9,6065.9,3,1,2,Hibernating / Lost
CUST-0549,Customer_549,Consumer,Central,190,11,6084.96,1,3,2,At-Risk Customers
CUST-0815,Customer_815,Home Office,East,32,11,6105.78,3,2,2,Hibernating / Lost
CUST-0354,Customer_354,Home Office,West,41,10,6129.92,3,2,2,Hibernating / Lost
CUST-0503,Customer_503,Corporate,South,1,11,6164.08,5,2,2,Promising New
CUST-0656,Customer_656,Consumer,South,75,6,6186.94,2,1,2,Hibernating / Lost
CUST-0227,Customer_227,Consumer,East,68,12,6193.43,2,3,2,At-Risk Customers
CUST-0477,Customer_477,Consumer,East,95,7,6199.03,1,1,2,Hibernating / Lost
CUST-0443,Customer_443,Home Office,North,23,11,6224.73,4,2,2,Promising New
CUST-0179,Customer_179,Consumer,West,78,8,6231.32,2,1,2,Hibernating / Lost
CUST-0291,Customer_291,Corporate,East,86,9,6245.96,2,1,2,Hibernating / Lost
CUST-0049,Customer_49,Consumer,East,20,18,6250.88,4,5,2,Champions (High Value)
CUST-0639,Customer_639,Consumer,West,151,9,6265.48,1,1,2,Hibernating / Lost
CUST-0582,Customer_582,Consumer,West,12,10,6270.78,5,2,2,Promising New
CUST-0315,Customer_315,Corporate,East,40,10,6287.04,3,2,2,Hibernating / Lost
CUST-0707,Customer_707,Consumer,Central,225,15,6291.15,1,5,2,At-Risk Customers
CUST-0812,Customer_812,Home Office,East,27,13,6297.35,4,3,2,Hibernating / Lost
CUST-0567,Customer_567,Consumer,Central,44,15,6299.95,3,4,2,Hibernating / Lost
CUST-0528,Customer_528,Corporate,East,3,10,6303.4,5,1,2,Promising New
CUST-0680,Customer_680,Consumer,South,8,9,6304.2,5,1,2,Promising New
CUST-0778,Customer_778,Consumer,West,16,7,6313.17,4,1,2,Promising New
CUST-0487,Customer_487,Consumer,South,1,14,6321.08,5,4,2,Champions (High Value)
CUST-0648,Customer_648,Consumer,West,88,10,6367.11,2,2,2,Hibernating / Lost
CUST-0103,Customer_103,Home Office,East,50,15,6383.43,3,5,2,Hibernating / Lost
CUST-0449,Customer_449,Consumer,North,67,9,6412.92,2,1,2,Hibernating / Lost
CUST-0598,Customer_598,Home Office,South,12,14,6416.5,5,4,2,Champions (High Value)
CUST-0193,Customer_193,Corporate,West,173,16,6439.67,1,5,2,At-Risk Customers
CUST-0324,Customer_324,Consumer,South,96,12,6454.76,1,3,2,At-Risk Customers
CUST-0711,Customer_711,Consumer,West,8,15,6457.28,5,4,2,Champions (High Value)
CUST-0814,Customer_814,Corporate,West,19,10,6479.02,4,2,2,Promising New
CUST-0643,Customer_643,Consumer,North,12,9,6498.51,5,1,2,Promising New
CUST-0460,Customer_460,Home Office,North,127,11,6540.07,1,3,2,At-Risk Customers
CUST-0518,Customer_518,Corporate,East,43,10,6545.86,3,2,2,Hibernating / Lost
CUST-0250,Customer_250,Consumer,Central,11,11,6546.45,5,2,2,Promising New
CUST-0735,Customer_735,Consumer,South,49,8,6553.59,3,1,2,Hibernating / Lost
CUST-0181,Customer_181,Corporate,South,15,18,6573.49,4,5,2,Champions (High Value)
CUST-0446,Customer_446,Consumer,West,1,12,6575.29,5,3,2,Hibernating / Lost
CUST-0544,Customer_544,Consumer,East,88,8,6583.82,2,1,2,Hibernating / Lost
CUST-0125,Customer_125,Corporate,Central,241,10,6585.75,1,2,2,Hibernating / Lost
CUST-0209,Customer_209,Consumer,West,164,11,6598.62,1,3,2,At-Risk Customers
CUST-0011,Customer_11,Consumer,North,13,16,6617.53,4,5,2,Champions (High Value)
CUST-0363,Customer_363,Consumer,South,5,11,6625.31,5,2,2,Promising New
CUST-0055,Customer_55,Corporate,East,53,12,6634.62,2,3,2,At-Risk Customers
CUST-0066,Customer_66,Consumer,East,29,14,6634.7,4,4,2,Champions (High Value)
CUST-0165,Customer_165,Home Office,East,20,13,6640.82,4,3,2,Hibernating / Lost
CUST-0182,Customer_182,Home Office,East,61,17,6699.72,2,5,2,At-Risk Customers
CUST-0494,Customer_494,Consumer,North,134,11,6702.83,1,3,2,At-Risk Customers
CUST-0447,Customer_447,Consumer,East,68,10,6738.06,2,2,2,Hibernating / Lost
CUST-0792,Customer_792,Consumer,East,55,10,6738.33,2,2,2,Hibernating / Lost
CUST-0621,Customer_621,Corporate,North,5,13,6738.59,5,3,2,Hibernating / Lost
CUST-0348,Customer_348,Consumer,Central,97,11,6739.71,1,3,2,At-Risk Customers
CUST-0129,Customer_129,Corporate,South,43,11,6760.03,3,2,2,Hibernating / Lost
CUST-0186,Customer_186,Consumer,Central,39,13,6779.84,3,4,2,Hibernating / Lost
CUST-0617,Customer_617,Corporate,West,23,12,6786.16,4,3,2,Hibernating / Lost
CUST-0809,Customer_809,Corporate,West,13,15,6790.66,5,4,2,Champions (High Value)
CUST-0755,Customer_755,Consumer,East,103,8,6798.72,1,1,2,Hibernating / Lost
CUST-0655,Customer_655,Corporate,East,84,14,6803.51,2,4,2,At-Risk Customers
CUST-0258,Customer_258,Corporate,North,72,10,6809.74,2,2,2,Hibernating / Lost
CUST-0364,Customer_364,Corporate,Central,68,10,6814.77,2,2,2,Hibernating / Lost
CUST-0071,Customer_71,Consumer,Central,129,10,6826.83,1,2,2,Hibernating / Lost
CUST-0236,Customer_236,Corporate,East,166,10,6840.61,1,2,2,Hibernating / Lost
CUST-0421,Customer_421,Consumer,East,14,13,6864.23,4,3,2,Hibernating / Lost
CUST-0552,Customer_552,Consumer,East,31,12,6871.25,3,3,2,Hibernating / Lost
CUST-0020,Customer_20,Consumer,West,17,14,6899.66,4,4,2,Champions (High Value)
CUST-0374,Customer_374,Consumer,North,120,8,6911.51,1,1,2,Hibernating / Lost
CUST-0734,Customer_734,Home Office,West,75,12,6931.48,2,3,2,At-Risk Customers
CUST-0805,Customer_805,Corporate,North,127,10,6977.07,1,2,2,Hibernating / Lost
CUST-0684,Customer_684,Consumer,Central,29,10,6979.8,4,2,2,Promising New
CUST-0009,Customer_9,Consumer,South,1,16,6990.08,5,5,2,Champions (High Value)
CUST-0338,Customer_338,Consumer,East,7,16,6995.33,5,5,2,Champions (High Value)
CUST-0106,Customer_106,Consumer,East,67,14,7001.59,2,4,2,At-Risk Customers
CUST-0796,Customer_796,Consumer,North,2,10,7002.03,5,1,2,Promising New
CUST-0537,Customer_537,Home Office,East,87,13,7011.4,2,4,2,At-Risk Customers
CUST-0317,Customer_317,Home Office,Central,19,13,7019.63,4,3,2,Hibernating / Lost
CUST-0417,Customer_417,Corporate,North,45,12,7020.0,3,3,2,Hibernating / Lost
CUST-0139,Customer_139,Consumer,South,19,10,7039.29,4,2,2,Promising New
CUST-0577,Customer_577,Home Office,North,21,10,7044.64,4,2,2,Promising New
CUST-0054,Customer_54,Consumer,East,80,12,7055.08,2,3,2,At-Risk Customers
CUST-0224,Customer_224,Consumer,South,16,13,7057.01,4,3,2,Hibernating / Lost
CUST-0624,Customer_624,Corporate,South,70,10,7064.38,2,2,2,Hibernating / Lost
CUST-0615,Customer_615,Consumer,South,27,8,7073.02,4,1,2,Promising New
CUST-0596,Customer_596,Home Office,South,2,17,7101.48,5,5,2,Champions (High Value)
CUST-0752,Customer_752,Corporate,South,26,14,7170.46,4,4,2,Champions (High Value)
CUST-0777,Customer_777,Home Office,South,99,11,7173.02,1,3,2,At-Risk Customers
CUST-0485,Customer_485,Consumer,South,55,15,7176.0,2,5,2,At-Risk Customers
CUST-0168,Customer_168,Corporate,North,19,10,7192.28,4,2,2,Promising New
CUST-0056,Customer_56,Consumer,Central,8,10,7212.47,5,2,2,Promising New
CUST-0586,Customer_586,Corporate,South,11,11,7213.24,5,2,2,Promising New
CUST-0457,Customer_457,Consumer,East,8,7,7224.08,5,1,2,Promising New
CUST-0511,Customer_511,Consumer,North,23,12,7232.77,4,3,2,Hibernating / Lost
CUST-0376,Customer_376,Consumer,North,112,13,7234.99,1,4,2,At-Risk Customers
CUST-0409,Customer_409,Corporate,South,63,13,7248.06,2,4,2,At-Risk Customers
CUST-0262,Customer_262,Consumer,North,173,8,7256.27,1,1,2,Hibernating / Lost
CUST-0620,Customer_620,Home Office,North,10,16,7293.28,5,5,2,Champions (High Value)
CUST-0190,Customer_190,Consumer,South,94,13,7314.03,1,4,2,At-Risk Customers
CUST-0668,Customer_668,Corporate,South,98,10,7333.76,1,2,2,Hibernating / Lost
CUST-0316,Customer_316,Corporate,South,114,14,7338.19,1,4,2,At-Risk Customers
CUST-0827,Customer_827,Home Office,North,30,14,7351.24,3,4,2,Hibernating / Lost
CUST-0733,Customer_733,Corporate,East,77,12,7358.62,2,3,2,At-Risk Customers
CUST-0013,Customer_13,Consumer,West,69,13,7372.07,2,4,2,At-Risk Customers
CUST-0662,Customer_662,Corporate,North,94,13,7373.49,1,4,2,At-Risk Customers
CUST-0067,Customer_67,Consumer,East,63,12,7387.88,2,3,2,At-Risk Customers
CUST-0059,Customer_59,Consumer,North,64,13,7423.72,2,4,2,At-Risk Customers
CUST-0222,Customer_222,Home Office,North,48,9,7449.23,3,1,2,Hibernating / Lost
CUST-0666,Customer_666,Corporate,North,28,11,7450.95,4,2,2,Promising New
CUST-0469,Customer_469,Consumer,East,67,8,7451.21,2,1,2,Hibernating / Lost
CUST-0804,Customer_804,Consumer,North,15,13,7454.85,4,3,2,Hibernating / Lost
CUST-0525,Customer_525,Consumer,South,23,14,7466.56,4,4,2,Champions (High Value)
CUST-0058,Customer_58,Home Office,South,142,8,7469.96,1,1,2,Hibernating / Lost
CUST-0519,Customer_519,Corporate,East,74,17,7474.45,2,5,2,At-Risk Customers
CUST-0458,Customer_458,Corporate,East,18,14,7482.19,4,4,2,Champions (High Value)
CUST-0243,Customer_243,Corporate,West,8,10,7484.64,5,2,2,Promising New
CUST-0175,Customer_175,Consumer,South,84,8,7493.26,2,1,2,Hibernating / Lost
CUST-0509,Customer_509,Consumer,North,84,11,7494.52,2,3,2,At-Risk Customers
CUST-0433,Customer_433,Consumer,East,6,13,7499.68,5,3,2,Hibernating / Lost
CUST-0482,Customer_482,Home Office,East,44,14,7505.89,3,4,2,Hibernating / Lost
CUST-0779,Customer_779,Consumer,East,75,9,7514.42,2,1,2,Hibernating / Lost
CUST-0300,Customer_300,Consumer,East,151,9,7518.25,1,1,2,Hibernating / Lost
CUST-0849,Customer_849,Corporate,Central,4,16,7528.57,5,5,2,Champions (High Value)
CUST-0006,Customer_6,Consumer,Central,62,10,7541.05,2,2,2,Hibernating / Lost
CUST-0045,Customer_45,Consumer,Central,53,15,7541.3,2,5,2,At-Risk Customers
CUST-0594,Customer_594,Consumer,West,34,14,7561.28,3,4,2,Hibernating / Lost
CUST-0093,Customer_93,Consumer,North,126,10,7579.2,1,2,2,Hibernating / Lost
CUST-0385,Customer_385,Consumer,East,31,13,7591.9,3,3,2,Hibernating / Lost
CUST-0844,Customer_844,Consumer,East,268,8,7604.21,1,1,2,Hibernating / Lost
CUST-0131,Customer_131,Home Office,North,28,14,7619.62,4,4,2,Champions (High Value)
CUST-0032,Customer_32,Home Office,West,89,11,7626.9,2,3,2,At-Risk Customers
CUST-0068,Customer_68,Corporate,North,46,13,7627.57,3,4,2,Hibernating / Lost
CUST-0626,Customer_626,Consumer,East,50,14,7651.1,3,4,2,Hibernating / Lost
CUST-0597,Customer_597,Consumer,Central,40,12,7656.62,3,3,2,Hibernating / Lost
CUST-0772,Customer_772,Consumer,West,44,12,7661.89,3,3,2,Hibernating / Lost
CUST-0557,Customer_557,Corporate,East,23,13,7691.61,4,3,2,Hibernating / Lost
CUST-0051,Customer_51,Corporate,West,56,13,7708.61,2,4,2,At-Risk Customers
CUST-0333,Customer_333,Consumer,North,45,9,7713.54,3,1,2,Hibernating / Lost
CUST-0740,Customer_740,Corporate,East,8,13,7716.23,5,3,2,Hibernating / Lost
CUST-0562,Customer_562,Corporate,North,15,16,7725.08,4,5,2,Champions (High Value)
CUST-0023,Customer_23,Consumer,North,158,8,7727.28,1,1,2,Hibernating / Lost
CUST-0415,Customer_415,Consumer,South,39,12,7744.13,3,3,2,Hibernating / Lost
